x	p	y
MONDO:0005336	RO:0004020	GO:0043292
MONDO:0014844	RO:0004020	http://identifiers.org/hgnc/28852
MONDO:0016789	RO:0004021	GO:0006090
MONDO:0012442	RO:0004020	http://identifiers.org/hgnc/18141
MONDO:0008270	RO:0004020	http://identifiers.org/hgnc/13243
MONDO:0003690	RO:0002573	HP:0003581
MONDO:0013276	RO:0004020	http://identifiers.org/hgnc/6518
MONDO:0019937	RO:0002573	MONDO:0021136
MONDO:0013541	RO:0004020	http://identifiers.org/hgnc/20772
MONDO:0044355	RO:0002573	MONDO:0021136
MONDO:0008226	RO:0004020	http://identifiers.org/hgnc/2528
MONDO:0019632	RO:0002451	NCBITaxon:29930
MONDO:0009084	http://purl.obolibrary.org/obo/mondo#disease_has_major_feature	HP:0000405
MONDO:0003109	RO:0004026	UBERON:0003687
MONDO:0014951	RO:0004020	http://identifiers.org/hgnc/24036
MONDO:0005649	RO:0004027	UBERON:0001154
MONDO:0010298	RO:0004020	http://identifiers.org/hgnc/5157
MONDO:0014669	RO:0004020	http://identifiers.org/hgnc/28769
MONDO:0005445	RO:0004026	UBERON:0002075
MONDO:0014443	RO:0004020	http://identifiers.org/hgnc/28027
MONDO:0001176	RO:0004026	UBERON:0000965
MONDO:0014049	RO:0004020	http://identifiers.org/hgnc/20889
MONDO:0014789	RO:0004020	http://identifiers.org/hgnc/28178
MONDO:0012199	RO:0004020	http://identifiers.org/hgnc/2216
MONDO:0007850	RO:0004020	http://identifiers.org/hgnc/4284
MONDO:0012763	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0010826
MONDO:0022349	RO:0004021	GO:0030901
MONDO:0014342	RO:0004020	http://identifiers.org/hgnc/13187
MONDO:0018211	RO:0004029	MONDO:0000678
MONDO:0014576	RO:0004020	http://identifiers.org/hgnc/29569
MONDO:0011424	RO:0004029	MONDO:0011719
MONDO:0017128	RO:0002573	MONDO:0021136
MONDO:0009564	RO:0004020	http://identifiers.org/hgnc/26270
MONDO:0014363	RO:0004020	http://identifiers.org/hgnc/33862
MONDO:0011760	RO:0004020	http://identifiers.org/hgnc/5391
MONDO:0016238	RO:0004029	NCIT:C37123
MONDO:0013120	RO:0004020	http://identifiers.org/hgnc/1552
MONDO:0011163	RO:0004020	http://identifiers.org/hgnc/1397
MONDO:0014803	RO:0004020	http://identifiers.org/hgnc/20134
MONDO:0060662	http://purl.obolibrary.org/obo/mondo#disease_shares_features_of	MONDO:0015253
MONDO:0014337	RO:0004020	http://identifiers.org/hgnc/12412
MONDO:0006052	RO:0004029	HP:0002202
MONDO:0001620	RO:0004029	HP:0001433
MONDO:0024888	RO:0004026	UBERON:0003074
MONDO:0000490	http://purl.obolibrary.org/obo/mondo#disease_causes_feature	MONDO:0001106
MONDO:0022380	RO:0004029	MONDO:0018874
MONDO:0008930	http://purl.obolibrary.org/obo/mondo#predisposes_towards	MONDO:0005130
MONDO:0015145	RO:0002573	MONDO:0021136
MONDO:0010389	RO:0004020	http://identifiers.org/hgnc/2578
MONDO:0014246	RO:0004020	http://identifiers.org/hgnc/10582
MONDO:0033939	RO:0004020	http://identifiers.org/hgnc/2033
MONDO:0009314	RO:0004020	http://identifiers.org/hgnc/4193
MONDO:0021084	RO:0004024	GO:0007601
MONDO:0015923	RO:0002573	MONDO:0021136
MONDO:0021207	RO:0004027	UBERON:0002115
MONDO:0011334	RO:0004020	http://identifiers.org/hgnc/15979
MONDO:0009052	RO:0004020	http://identifiers.org/hgnc/3602
MONDO:0021722	RO:0004026	UBERON:0000997
MONDO:0014837	RO:0004020	http://identifiers.org/hgnc/11283
MONDO:0000152	http://purl.obolibrary.org/obo/mondo#disease_responds_to	CHEBI:26948
MONDO:0000225	RO:0002451	NCBITaxon:6945
MONDO:0004615	RO:0004026	UBERON:0011601
MONDO:0045050	RO:0004026	UBERON:0000390
MONDO:0015970	RO:0002573	MONDO:0021136
MONDO:0012575	RO:0004020	http://identifiers.org/hgnc/10891
MONDO:0005408	RO:0004022	MONDO:0005148
MONDO:0020098	RO:0004022	HP:0011031
MONDO:0013853	RO:0004020	http://identifiers.org/hgnc/17944
MONDO:0004391	RO:0002573	HP:0003581
MONDO:0011413	RO:0004020	http://identifiers.org/hgnc/2388
MONDO:0012323	RO:0004020	http://identifiers.org/hgnc/3052
