cls	clsLabel	numSuperCls
MONDO:1010021	"tetralogy of fallot, non-human animal"	1
GO:0060047	"heart contraction"	1
MONDO:0019031	"thrombocytopenia with congenital dyserythropoietic anemia"	3
UBERON:0005602	"dorsal mesogastrium"	1
MONDO:0002353	"glottis neoplasm"	1
UBERON:0004884	"lobar bronchus mesenchyme"	1
MONDO:0016801	"mitochondrial substrate carrier disorder"	1
UBERON:0002358	"peritoneum"	1
GO:0016011	"dystroglycan complex"	1
HP:0006824	"Cranial nerve paralysis"	1
MONDO:0015642	"benign partial infantile seizures"	1
NCBITaxon:53436	"Treponema pallidum subsp. endemicum"	1
UBERON:0012317	"vagina orifice"	3
CHR:9606-chr10q	"10q (Human)"	1
http://identifiers.org/hgnc/9652	"PTPN22"	1
MONDO:0022598	"brachydactyly absence of distal phalanges"	1
GO:0016835	"carbon-oxygen lyase activity"	1
MONDO:0014313	"autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity"	1
MONDO:0100046	"exfoliation syndrome, susceptibility to"	1
GO:0051726	"regulation of cell cycle"	1
UBERON:0002368	"endocrine gland"	1
MONDO:0010830	"neuronal ceroid lipofuscinosis 8"	2
MONDO:0016712	"classic medulloblastoma"	1
http://identifiers.org/hgnc/8022	"NT5C2"	1
CHEBI:33424	"sulfur oxoacid derivative"	2
MONDO:0009697	"Lafora disease"	3
HP:0009370	"Type A brachydactyly"	1
CHR:9606-chr7q11.23	"7q11.23 (Human)"	1
GO:0051463	"negative regulation of cortisol secretion"	2
UBERON:0008845	"nonskeletal ligament"	1
GO:0016814	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	1
GO:0048638	"regulation of developmental growth"	2
MONDO:0016210	"alternating hemiplegia"	1
MONDO:0002658	"iris cancer"	2
MONDO:0009184	"epidermolysis bullosa with diaphragmatic hernia"	1
MONDO:0005545	"staphylococcus aureus infection"	1
MONDO:0859378	"leukodystrophy, hypomyelinating, 25"	1
UBERON:0001295	"endometrium"	1
UBERON:0001185	"right renal artery"	1
MAXO:0000175	"blood glucose regulator therapy"@en	1
MONDO:1010227	"cauda equina syndrome, non-human animal"	2
MONDO:0060640	"neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy"	1
MONDO:0014742	"Parkinson disease 22, autosomal dominant"	1
http://identifiers.org/hgnc/24525	"MMACHC"	1
MONDO:0013308	"CBL-related disorder"	1
http://identifiers.org/hgnc/18187	"SIAE"	1
UBERON:0015060	"sphenoid endochondral element"	2
CL:0000050	"megakaryocyte-erythroid progenitor cell"	3
CL:0000559	"promonocyte"	2
CHEBI:51061	"hormone receptor modulator"	2
GO:1900004	"negative regulation of serine-type endopeptidase activity"	3
MONDO:0005699	"cervicofacial actinomycosis"	1
MONDO:1012419	"episodic falling, dog"	1
MONDO:0006121	"calcifying fibrous tumor"	1
MONDO:0002069	"female breast axillary tail cancer"	1
MONDO:0006373	"pituitary gland adenoma"	2
HP:0003700	"Generalized amyotrophy"	1
MONDO:0012009	"coronary heart disease, susceptibility to, 2"	1
MONDO:0009499	"Krabbe disease"	4
MONDO:0012722	"Dauwerse-Peters syndrome"	1
NCIT:C45981	"Presence of a Hormonal Syndrome"	1
NCBITaxon:43755	"Oestroidea"	1
MONDO:0014189	"age related macular degeneration 13"	1
NCBITaxon:1773	"Mycobacterium tuberculosis"	1
MONDO:0001878	"acquired hypertrophic pyloric stenosis"	1
CHR:9606-chr6	"chromosome 6 (Human)"	2
MONDO:0001243	"disseminated intravascular coagulation"	1
GO:0009755	"hormone-mediated signaling pathway"	1
GO:0032774	"RNA biosynthetic process"	2
HP:0008946	"Pelvic girdle amyotrophy"	1
GO:1903578	"regulation of ATP metabolic process"	1
CL:1000804	"kidney outer medulla interstitial cell"	2
CHEBI:65212	"polysaccharide derivative"	3
MONDO:0001334	"hypertrichosis of eyelid"	2
MONDO:0859356	"congenital disorder of glycosylation, type IIy"	1
HP:0008362	"Aplasia/Hypoplasia of the hallux"	2
HP:0003899	"Round humeral epiphyses"	2
MONDO:0100109	"Zinner syndrome"	1
MONDO:0100230	"fatty acyl-CoA reductase 1 upregulation"	2
MONDO:0013550	"distal myopathy with posterior leg and anterior hand involvement"	1
MONDO:0005095	"spondyloarthropathy"	2
HP:0045011	"Decreased urine bicarbonate concentration"	1
MONDO:0859357	"congenital disorder of glycosylation, type IIz"	1
MONDO:0020425	"abnormal number of coronary ostia"	1
NCBITaxon:34620	"Dermacentor andersoni"	1
HP:0200065	"Chorioretinal degeneration"	1
MONDO:0009020	"macular corneal dystrophy"	2
MONDO:0016025	"myoclonic-astatic epilepsy"	4
HP:0010188	"Curved distal toe phalanx"	2
MONDO:0011963	"Joubert syndrome 2"	2
MONDO:0009759	"mosaic variegated aneuploidy syndrome 1"	1
MONDO:0020663	"malignant spindle cell neoplasm"	2
CHEBI:140310	"phenyl acetates"	2
UBERON:0003117	"pharyngeal arch 6"	1
MONDO:0023472	"chondrodysplasia situs inversus imperforate anus polydactyly"	1
MONDO:0015006	"epidermolysis bullosa simplex 6, generalized, with scarring and hair loss"	2
CHR:9606-chr9q21.13	"9q21.13 (Human)"	1
NCBITaxon:6259	"Baylisascaris procyonis"	1
MONDO:0021085	"gastric neoplasm"	2
GO:0009893	"positive regulation of metabolic process"	2
http://identifiers.org/hgnc/24475	"DMGDH"	1
MONDO:0033683	"congenital progressive bone marrow failure-B-cell immunodeficiency-skeletal dysplasia syndrome"	8
UBERON:0003214	"mammary gland alveolus"	2
MONDO:0015552	"acral dystrophic epidermolysis bullosa"	1
MONDO:0700122	"PBRM1-related BAFopathy"	1
http://identifiers.org/hgnc/9279	"PDP1"	1
UBERON:8300004	"left hindlimb"	2
MONDO:0021316	"malignant tumor of minor salivary gland"	3
MONDO:0001493	"chronic pulmonary heart disease"	1
MONDO:0010689	"Charcot-Marie-Tooth disease X-linked recessive 4"	1
http://identifiers.org/hgnc/9587	"PTDSS1"	1
MONDO:0020435	"atrial septal defect, coronary sinus type"	2
MONDO:0003866	"liver extraskeletal osteosarcoma"	2
http://identifiers.org/hgnc/8840	"PEPD"	1
MONDO:0030893	"leukoencephalopathy, progressive, infantile-onset, with or without deafness"	1
UBERON:0003114	"pharyngeal arch 3"	1
MONDO:0100249	"46,XX testicular disorder of sex development"	1
MONDO:0007483	"dyschromatosis symmetrica hereditaria"	3
MONDO:0011225	"severe combined immunodeficiency due to DCLRE1C deficiency"	3
CHEBI:26421	"pyridines"	2
MONDO:1010155	"cutis laxa, non-human animal"	3
UBERON:0003116	"pharyngeal arch 5"	1
http://identifiers.org/hgnc/29017	"PLEKHM1"	1
MONDO:0008746	"oculocutaneous albinism type 2"	1
UBERON:0001976	"epithelium of esophagus"	2
UBERON:0004706	"bulbus cordis"	1
MONDO:0013163	"nephronophthisis-like nephropathy 1"	1
MONDO:0013173	"intellectual disability, autosomal recessive 13"	1
GO:0050865	"regulation of cell activation"	2
GO:0007618	"mating"	1
HP:0040326	"Hypoplasia of the olfactory bulb"	2
HP:0009791	"Bifid sacrum"	1
MONDO:0015883	"hidrotic ectodermal dysplasia, Halal type"	1
MONDO:0018873	"anterior cutaneous nerve entrapment syndrome"	1
UBERON:8410080	"red bone marrow of sternum"	1
MONDO:0011292	"dermatitis, atopic"	1
MONDO:1012070	"dystrophic epidermolysis bullosa, cattle"	1
MONDO:0859182	"Short stature, Dauber-Argente type"	1
MONDO:0001176	"lens disorder"	1
UBERON:0005484	"tricuspid valve leaflet"	1
UBERON:0003115	"pharyngeal arch 4"	1
MONDO:0019027	"otopalatodigital syndrome"	1
NCBITaxon:9806	"Ceratotherium"	1
MONDO:0023039	"eccrine mucinous carcinoma"	1
http://identifiers.org/hgnc/18481	"ATP6V0A2"	1
MONDO:0004127	"lung occult adenocarcinoma"	1
GO:0099513	"polymeric cytoskeletal fiber"	1
HP:0009470	"Contracture of the metacarpophalangeal joint of the 3rd finger"	1
MONDO:0007975	"meralgia paraesthetica, familial"	2
MONDO:0008747	"oculocutaneous albinism type 3"	1
MONDO:0024477	"liver and intrahepatic bile duct neoplasm"	3
MONDO:1010046	"patent urachus, non-human animal"	1
MONDO:0019538	"Gaisbock syndrome"	1
MONDO:0013264	"amyotrophic lateral sclerosis type 12"	1
HP:3000022	"Abnormality of cartilage of external ear"	2
MONDO:0020110	"pulmonary agenesis"	2
NCBITaxon:6947	"Prostigmata"	1
MONDO:0100172	"intellectual disability, autosomal dominant"	3
UBERON:0005567	"rhombomere 1 lateral wall"	1
NCBITaxon:6248	"Strongyloides stercoralis"	1
ECTO:6000024	"exposure to clinical or research activity"	1
UBERON:0004293	"parasympathetic nerve"	1
MONDO:0005276	"dental caries"	1
MONDO:1011505	"fibrocartilaginous embolic myelopathy, horse"	1
http://identifiers.org/hgnc/8772	"PDE10A"	1
MONDO:0018628	"HIV-associated cancer"	2
http://identifiers.org/hgnc/26821	"CCDC141"	1
MONDO:1011576	"neuronal ceroid lipofuscinosis, peach-faced lovebird"	1
http://identifiers.org/hgnc/23088	"SLC10A7"	1
HP:0002059	"Cerebral atrophy"	1
HP:0003127	"Hypocalciuria"	1
CL:0008022	"endocardial cushion cell"	2
ECTO:0000922	"exposure to EC 3.5.1.4 (amidase) inhibitor"	1
http://identifiers.org/hgnc/20134	"GLRX5"	1
CL:0009053	"stromal cell of anorectum lamina propria"	1
MONDO:0006676	"beriberi"	1
MONDO:0003428	"brain hemangioma"	1
CHR:9606-chr9q	"9q (Human)"	1
MONDO:0015827	"distal renal tubular acidosis"	1
MONDO:0007536	"congenital lobar emphysema"	1
HP:0011015	"Abnormal blood glucose concentration"	1
MONDO:0022645	"cardioencephalomyopathy"	1
MONDO:0009339	"congenital bile acid synthesis defect 2"	1
MONDO:0018959	"potassium-aggravated myotonia"	3
UBERON:0003368	"epithelium of hard palate"	3
MONDO:0002290	"clitoris cancer"	2
GO:0048713	"regulation of oligodendrocyte differentiation"	1
MONDO:0003002	"dysgerminoma"	2
UBERON:0002173	"pulmonary alveolar duct"	1
http://identifiers.org/hgnc/17063	"RAB3GAP1"	1
HP:0040303	"Decreased circulating iron concentration"	1
UBERON:0015204	"glandular system"	1
MONDO:0005102	"undifferentiated (embryonal) sarcoma"	1
HP:0008108	"Advanced tarsal ossification"	1
MONDO:0017087	"neurenteric cyst"	1
NCBITaxon:196	"Campylobacter fetus"	1
UBERON:0013192	"ovarian medulla"	2
MONDO:0009514	"Laurence-Moon syndrome"	4
UBERON:0004248	"pedal digit bone"	1
MONDO:0015584	"febrile infection-related epilepsy syndrome"	1
UBERON:0004140	"primary heart field"	4
MONDO:0100024	"self-limited familial infantile epilepsy"	1
MONDO:0030033	"seizures, early-onset, with neurodegeneration and brain calcifications"	1
http://identifiers.org/hgnc/2561	"CXCR4"	1
MONDO:1011980	"retinal dystrophy, non-human animal"	1
MONDO:0007884	"leg ulcers, familial, of juvenile onset"	1
MONDO:0001713	"inherited aplastic anemia"	2
MONDO:0001105	"renal hypertension"	2
http://identifiers.org/hgnc/1406	"CACNG2"	1
HP:0100526	"Neoplasm of the lung"	2
MONDO:0019365	"scrub typhus"	2
UBERON:0008858	"pyloric canal"	1
MONDO:0015534	"juvenile xanthogranuloma"	1
MONDO:0016450	"autoimmune hemolytic anemia, cold type"	1
MONDO:0003047	"thymic large cell neuroendocrine carcinoma"	2
GO:0009584	"detection of visible light"	1
MONDO:0006354	"parathyroid hyperplasia"	2
UBERON:0010576	"manual digit 2 phalanx pre-cartilage condensation"	2
UBERON:0003865	"distal phalanx of manus"	2
MONDO:0019745	"cystinuria type A"	1
MONDO:0003573	"pleomorphic carcinoma"	1
UBERON:0011814	"non-neurogenic ectodermal placode"	1
UBERON:0001850	"lacrimal drainage system"	3
GO:0009117	"nucleotide metabolic process"	1
GO:0099170	"postsynaptic modulation of chemical synaptic transmission"	1
UBERON:0001789	"outer nuclear layer of retina"	1
GO:0051119	"sugar transmembrane transporter activity"	1
MONDO:0016770	"actinic lichen planus"	1
MONDO:0008910	"carboxypeptidase N deficiency"	1
CHR:9606-chr18	"chromosome 18 (Human)"	2
CL:0000216	"Sertoli cell"	3
MONDO:0020600	"acute pharyngitis"	2
MONDO:0009509	"Landau-Kleffner syndrome"	4
MONDO:0011121	"paragangliomas 2"	6
MONDO:0017981	"syngnathia-cleft palate syndrome"	1
MONDO:0030031	"lissencephaly 10"	1
MONDO:0020606	"sex-linked disease"	1
MONDO:0018800	"Kallmann syndrome"	2
MONDO:0004620	"Hodgkin's lymphoma, lymphocytic depletion"	1
UBERON:0005661	"3rd arch ectoderm"	1
ENVO:01001852	"energy transfer process"@en	1
MONDO:0019746	"cystinuria type B"	1
MONDO:0024498	"glioma susceptibility 1"	1
UBERON:0002110	"gallbladder"	4
HP:0100738	"Abnormal eating behavior"	1
MONDO:0002219	"paraurethral gland neoplasm"	1
CHEBI:24676	"hydroxybenzoic acid"	2
MONDO:0031057	"dyskeratosis congenita, digenic"	1
MONDO:0032939	"intellectual developmental disorder, autosomal dominant 63, with macrocephaly"	1
CHEBI:25555	"nitrogen atom"	2
MONDO:0029135	"muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 8"	3
MONDO:0100026	"myoclonic encephalopathy in non-progressive disorder"	1
CL:0000785	"mature B cell"	2
CHR:9606-chr18p	"18p (Human)"	1
MONDO:0010521	"amelogenesis imperfecta type 1E"	1
UBERON:0015059	"orbitosphenoid endochondral element"	1
MONDO:0010976	"epidermolysis bullosa simplex 1D, generalized, intermediate or severe, autosomal recessive"	1
GO:0048819	"regulation of hair follicle maturation"	2
MONDO:0005698	"cervical incompetence"	1
GO:0031343	"positive regulation of cell killing"	2
UBERON:0009911	"lobule"	1
MONDO:1011229	"entropion, cattle"	1
HP:0002231	"Sparse body hair"	1
MONDO:0018046	"thrombocytopenia-Robin sequence syndrome"	1
UBERON:0015870	"lymph node of head"	1
MONDO:0003947	"hyper-IgM syndrome"	1
MONDO:0007553	"epidermolysis bullosa with deficiency of galactosylhydroxylysyl glucosyltransferase"	1
MONDO:0013452	"multisystemic smooth muscle dysfunction syndrome"	3
NCBITaxon:37124	"Chikungunya virus"	1
HP:0025579	"Abnormal left atrium morphology"	1
MONDO:0022804	"colobomata unilobar lung heart defect"	1
http://identifiers.org/hgnc/1632	"CD164"	1
MONDO:0009741	"neuroblastoma, susceptibility to, 1"	1
MONDO:0000309	"aniseikonia"	1
MONDO:0001357	"hypochromic anemia"	1
MONDO:0035592	"congenital infiltrating lipomatosis of the face"	1
CHEBI:33340	"zinc group element atom"	1
ECTO:7000068	"exposure to particulate matter"	1
MONDO:0018018	"wild type ATTR amyloidosis"	2
MONDO:0037747	"spinal injury"	1
MONDO:0004378	"pediatric cerebral ependymoblastoma"	4
MONDO:0958229	"bleeding disorder, vascular-type"	1
GO:0009142	"nucleoside triphosphate biosynthetic process"	2
MONDO:1012498	"primary open angle glaucoma, dog"	1
CL:0000970	"unswitched memory B cell"	1
MONDO:0008812	"AREDYLD syndrome"	1
GO:0045686	"negative regulation of glial cell differentiation"	2
MONDO:0010184	"methylmalonic aciduria and homocystinuria type cblC"	2
MONDO:0010185	"methylmalonic aciduria and homocystinuria type cblD"	2
MONDO:0001446	"low compliance bladder"	1
HP:0025015	"Abnormal vascular morphology"	2
CL:0000125	"glial cell"	1
MONDO:0009047	"cryptorchidism"	2
MONDO:0011338	"Omenn syndrome"	2
UBERON:0005319	"mesonephric collecting duct"	2
MONDO:0858997	"cancer of unknown primary site"	1
MONDO:0024279	"chronic endometritis"	1
MONDO:0009879	"short stature due to growth hormone qualitative anomaly"	1
MONDO:0008010	"antigen defined by monoclonal antibody Aj9"	1
MONDO:0045054	"cancer-related condition"	1
CL:0000015	"male germ cell"	1
HP:0200023	"Priapism"	1
http://identifiers.org/hgnc/28385	"VWA3B"	1
UBERON:0009959	"lumen of oropharynx"	1
CL:0000936	"early lymphoid progenitor"	2
GO:0006768	"biotin metabolic process"	5
NCBITaxon:13180	"Nymphicus hollandicus"	1
UBERON:0012320	"cervical artery"	2
MONDO:0030502	"tetrasomy"	1
MONDO:0005139	"morbid obesity"	1
MONDO:0850302	"intracranial meningioma"	1
UBERON:0001303	"left uterine tube"	1
MONDO:1011060	"polycystic kidney disease, sheep"	1
http://identifiers.org/hgnc/9752	"QDPR"	1
HP:0040004	"Abnormality of corneal shape"	1
http://identifiers.org/hgnc/9751	"QARS1"	1
NCBITaxon:318478	"Dracunculus <nematodes>"	1
HP:0011488	"Abnormal corneal endothelium morphology"	1
MONDO:0014052	"congenital myasthenic syndrome 8"	1
MONDO:0007202	"blepharoptosis-myopia-ectopia lentis syndrome"	1
http://identifiers.org/hgnc/3378	"EPB41L1"	1
MONDO:0850281	"mammary analog secretory carcinoma"	1
MONDO:0009051	"cutaneous photosensitivity-lethal colitis syndrome"	1
GO:1903380	"positive regulation of mitotic chromosome condensation"	3
FOODON:00001143	"fungus food product"@en	1
GO:0009566	"fertilization"	1
MONDO:0005583	"non-human animal disease"	1
MONDO:0008510	"symphalangism with multiple anomalies of hands and feet"	3
GO:0016050	"vesicle organization"	1
NCBITaxon:1301	"Streptococcus"	1
CHEBI:50903	"carcinogenic agent"	1
UBERON:0002411	"clitoris"	3
MONDO:0014007	"Aicardi-Goutieres syndrome 6"	2
UBERON:0001487	"pes joint"	3
GO:0034763	"negative regulation of transmembrane transport"	3
MONDO:0019249	"mucopolysaccharidosis"	4
MONDO:0100571	"CTNNB1-related neurodevelopmental disorder and/or vitreoretinopathy"	1
MONDO:0017361	"congenital rubella syndrome"	2
MONDO:1010543	"cystic fibrosis, domestic ferret"	1
MONDO:0019861	"thyroid hypoplasia"	1
CHEBI:58123	"(2S)-2-hydroxy monocarboxylic acid anion"	1
MONDO:0008909	"congenital disorder of glycosylation, type i/IIx"	1
MONDO:0002169	"rectum adenocarcinoma"	2
NCBITaxon:27479	"Reduviidae"	1
UBERON:0005956	"outflow part of left ventricle"	1
MONDO:0004929	"constant exophthalmos"	1
MONDO:0019613	"non-functioning pituitary adenoma"	2
UBERON:0007307	"pronephric glomerular basement membrane"	1
MONDO:0013376	"microphthalmia, isolated, with coloboma 6"	1
CL:1000478	"transitional myocyte of sinoatrial node"	2
CL:0009033	"plasma cell of appendix"	1
MONDO:0004048	"immature gastric teratoma"	4
http://identifiers.org/hgnc/16473	"NME8"	1
MONDO:0010802	"pancreatic hypoplasia-diabetes-congenital heart disease syndrome"	2
GO:0071417	"cellular response to organonitrogen compound"	3
MONDO:0022841	"congenital hypotrichosis milia"	1
UBERON:0035546	"uveal vein"	1
UBERON:0003560	"spinal cord arachnoid mater"	2
MONDO:0009412	"scurvy"	3
MONDO:0007689	"guanylate kinase 3"	1
GO:0030431	"sleep"	1
MONDO:0005429	"prion disease"	2
MONDO:0958164	"poorly differentiated chordoma"	1
MONDO:0001549	"hemolytic-uremic syndrome"	1
MONDO:0019942	"distal arthrogryposis"	3
MONDO:0019123	"continuous spikes and waves during sleep"	1
NCBITaxon:262	"Francisella"	1
MONDO:0800467	"dyskeratosis congenita and related telomere biology disorder"	1
http://identifiers.org/ncbigene/100750233	"GNS"	1
MONDO:1011547	"junctionalis epidermolysis bullosa, cattle"	2
MONDO:0004079	"lung mucous gland adenoma"	1
MONDO:0032577	"retinitis pigmentosa 83"	1
GO:2000264	"negative regulation of blood coagulation, extrinsic pathway"	3
MONDO:0003454	"conjunctival cancer"	2
MONDO:0014271	"STT3B-congenital disorder of glycosylation"	2
CL:0007004	"premigratory neural crest cell"	2
NCBITaxon:786	"Rickettsia akari"	1
MONDO:0017847	"autosomal recessive spastic ataxia"	2
HP:0001977	"Abnormal thrombosis"	1
MONDO:0003688	"well differentiated papillary mesothelioma"	1
MONDO:0021326	"malignant neoplasm of cervical esophagus"	1
MONDO:0013379	"Noonan syndrome 7"	1
MONDO:0007595	"factor VII and Factor VIII, combined deficiency of"	1
CL:4023062	"dentate gyrus neuron"	1
HP:0001504	"Metacarpal osteolysis"	2
UBERON:0004064	"neural tube basal plate"	2
UBERON:0012081	"patella pre-cartilage condensation"	3
GO:0051353	"positive regulation of oxidoreductase activity"	2
MONDO:0001862	"malignant visceral pleura tumor"	1
HP:0000400	"Macrotia"	1
MONDO:0002107	"unilateral hyperactive labyrinth"	1
MONDO:0020316	"acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)"	1
PATO:0001558	"lacking processual parts"	1
MONDO:0021126	"syndromic or isolated"	1
MONDO:0014532	"autosomal dominant mitochondrial myopathy with exercise intolerance"	3
MONDO:0006521	"acneiform dermatitis"	1
HP:0030242	"Portal vein thrombosis"	2
UBERON:0037531	"intestinal lymph node"	1
HP:0010914	"Abnormal circulating valine concentration"	1
MONDO:0800476	"HAND2 related congenital heart defect"	2
CHEBI:30794	"malonic acid"	1
CL:0002536	"epithelial cell of amnion"	1
NCBITaxon:727	"Haemophilus influenzae"	1
http://identifiers.org/hgnc/3005	"DPM1"	1
MONDO:1010962	"benign prostatic hyperplasia, dog"	1
MONDO:0012078	"Joubert syndrome 3"	2
