icd	icd_label	bucket	mondo	mondo_label	predicate	cardinality	lexical	verdict	rationale	qualifier
ICD10CM:Q00-Q07	Congenital malformations of the nervous system (Q00-Q07)	BLOCK	MONDO:0020022	central nervous system malformation	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q00-Q99	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	BLOCK	MONDO:0021147	disorder of development or morphogenesis	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q13.4	Other congenital corneal malformations	RESIDUAL	MONDO:0000733	cornea plana	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is RESIDUAL; cannot be an exact equivalent	"{source=""DOID:0060287"", source=""MONDO:equivalentTo"", source=""Orphanet:53691""}"
ICD10CM:Q23	Congenital malformations of aortic and mitral valves	CONTAINER	MONDO:0019817	congenital mitral valve insufficiency and/or stenosis	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""MONDO:equivalentTo""}"
ICD10CM:Q35-Q37	Cleft lip and cleft palate (Q35-Q37)	BLOCK	MONDO:0016044	cleft lip/palate	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q42.3	Congenital absence, atresia and stenosis of anus without fistula	CONTAINER	MONDO:0001046	imperforate anus	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is CONTAINER; cannot be an exact equivalent	"{source=""DOID:10488"", source=""https://orcid.org/0009-0001-6494-4831"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0002-5002-8648""}"
ICD10CM:Q60-Q64	Congenital malformations of the urinary system (Q60-Q64)	BLOCK	MONDO:0019356	urogenital tract malformation	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q90-Q99	Chromosomal abnormalities, not elsewhere classified (Q90-Q99)	BLOCK	MONDO:0019040	chromosomal disorder	equivalentTo	1	no	DEMOTE->broadMatch	ICD code is BLOCK; cannot be an exact equivalent	"{source=""https://github.com/monarch-initiative/mondo/issues/4536"", source=""MONDO:equivalentTo"", source=""https://orcid.org/0000-0001-5208-3432"", source=""https://orcid.org/0000-0002-4142-7153""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0016057	isolated encephalocele	orphanet-btnt	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:199647/specific"", source=""Orphanet:199647/btnt"", source=""Orphanet:199647""}"
ICD10CM:Q01.8	Encephalocele of other sites	DISEASE	MONDO:0017078	cephalocele	provenance-only:orphanet	5	no	KEEP-as-broadMatch	5 Mondo terms share this code; Mondo is narrower	"{source=""Orphanet:268817""}"
