#curie_map:
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  OMIM: http://omim.org/entry/
#  skos: http://www.w3.org/2004/02/skos/core#
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: '2021-05-20'
#subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type
MONDO:0008998	skos:broadMatch	OMIM:216411	HumanCurated
MONDO:0016672	skos:broadMatch	OMIM:613566	HumanCurated
MONDO:0016672	skos:broadMatch	OMIM:142470	HumanCurated
MONDO:0016672	skos:broadMatch	OMIM:141749	HumanCurated
MONDO:0018749	skos:broadMatch	OMIM:613566	HumanCurated
MONDO:0018749	skos:broadMatch	OMIM:142470	HumanCurated
MONDO:0018749	skos:broadMatch	OMIM:141749	HumanCurated
MONDO:0021023	skos:broadMatch	OMIM:300274	HumanCurated
MONDO:0019508	skos:broadMatch	OMIM:604547	HumanCurated
MONDO:0019409	skos:broadMatch	OMIM:615221	HumanCurated
