# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   mesh: http://identifiers.org/mesh/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_exactmatch_mesh.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-06-04/mappings/mondo_exactmatch_mesh.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0000001	disease	skos:exactMatch	mesh:D004194	semapv:ManualMappingCuration
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	mesh:D000309	semapv:ManualMappingCuration
MONDO:0000022	nocturnal enuresis	skos:exactMatch	mesh:D053206	semapv:ManualMappingCuration
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	skos:exactMatch	mesh:C536092	semapv:ManualMappingCuration
MONDO:0000082	pelvic organ prolapse	skos:exactMatch	mesh:D056887	semapv:ManualMappingCuration
MONDO:0000087	polymicrogyria	skos:exactMatch	mesh:D065706	semapv:ManualMappingCuration
MONDO:0000088	precocious puberty	skos:exactMatch	mesh:D011629	semapv:ManualMappingCuration
MONDO:0000104	anemia, hypochromic microcytic with iron overload	skos:exactMatch	mesh:C567144	semapv:ManualMappingCuration
MONDO:0000107	auriculocondylar syndrome	skos:exactMatch	mesh:C538270	semapv:ManualMappingCuration
MONDO:0000110	bifid nose	skos:exactMatch	mesh:C535441	semapv:ManualMappingCuration
MONDO:0000115	Chiari malformation	skos:exactMatch	mesh:D001139	semapv:ManualMappingCuration
MONDO:0000128	giant axonal neuropathy	skos:exactMatch	mesh:D056768	semapv:ManualMappingCuration
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	mesh:C537362	semapv:ManualMappingCuration
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	mesh:C536987	semapv:ManualMappingCuration
MONDO:0000153	transposition of the great arteries	skos:exactMatch	mesh:D014188	semapv:ManualMappingCuration
MONDO:0000158	developmental dysplasia of the hip	skos:exactMatch	mesh:D000082602	semapv:ManualMappingCuration
MONDO:0000159	bone marrow failure syndrome	skos:exactMatch	mesh:C536572	semapv:ManualMappingCuration
MONDO:0000170	microphthalmia, isolated, with coloboma	skos:exactMatch	mesh:C537463	semapv:ManualMappingCuration
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	mesh:D058494	semapv:ManualMappingCuration
MONDO:0000179	Neu-Laxova syndrome	skos:exactMatch	mesh:C536405	semapv:ManualMappingCuration
MONDO:0000190	ventricular fibrillation	skos:exactMatch	mesh:D014693	semapv:ManualMappingCuration
MONDO:0000193	cortisone reductase deficiency	skos:exactMatch	mesh:C536447	semapv:ManualMappingCuration
MONDO:0000200	Zimmermann-Laband syndrome	skos:exactMatch	mesh:C536725	semapv:ManualMappingCuration
MONDO:0000211	striatal degeneration, autosomal dominant	skos:exactMatch	mesh:C563783	semapv:ManualMappingCuration
MONDO:0000212	hypercalcemia, infantile	skos:exactMatch	mesh:C562999	semapv:ManualMappingCuration
MONDO:0000239	adiaspiromycosis	skos:exactMatch	mesh:C000656784	semapv:ManualMappingCuration
MONDO:0000241	Keshan disease	skos:exactMatch	mesh:C536166	semapv:ManualMappingCuration
MONDO:0000242	tinea barbae	skos:exactMatch	mesh:C000656825	semapv:ManualMappingCuration
MONDO:0000248	dengue shock syndrome	skos:exactMatch	mesh:D019595	semapv:ManualMappingCuration
MONDO:0000253	piedra	skos:exactMatch	mesh:D010854	semapv:ManualMappingCuration
MONDO:0000262	otomycosis	skos:exactMatch	mesh:D059249	semapv:ManualMappingCuration
MONDO:0000265	aspiration pneumonia	skos:exactMatch	mesh:D011015	semapv:ManualMappingCuration
MONDO:0000266	pulmonary aspergilloma	skos:exactMatch	mesh:D055732	semapv:ManualMappingCuration
MONDO:0000290	primary amebic meningoencephalitis	skos:exactMatch	mesh:C535275	semapv:ManualMappingCuration
MONDO:0000306	trichosporonosis	skos:exactMatch	mesh:D060586	semapv:ManualMappingCuration
MONDO:0000309	aniseikonia	skos:exactMatch	mesh:D000839	semapv:ManualMappingCuration
MONDO:0000313	hypophosphatemia	skos:exactMatch	mesh:D017674	semapv:ManualMappingCuration
MONDO:0000327	Buruli ulcer disease	skos:exactMatch	mesh:D054312	semapv:ManualMappingCuration
MONDO:0000328	hyperphosphatemia	skos:exactMatch	mesh:D054559	semapv:ManualMappingCuration
MONDO:0000330	endemic typhus	skos:exactMatch	mesh:D014437	semapv:ManualMappingCuration
MONDO:0000332	sennetsu fever	skos:exactMatch	mesh:C537582	semapv:ManualMappingCuration
