# curie_map:
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   SCTID: http://snomed.info/id/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2017-09-20'
# mapping_set_id: http://purl.obolibrary.org/obo/mondo/mappings/mondo_exactmatch_sctid.sssom.tsv
# mapping_set_version: http://purl.obolibrary.org/obo/mondo/releases/2024-06-04/mappings/mondo_exactmatch_sctid.sssom.tsv
# subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
MONDO:0000001	disease	skos:exactMatch	SCTID:64572001	semapv:ManualMappingCuration
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	SCTID:386584007	semapv:ManualMappingCuration
MONDO:0000015	classic complement early component deficiency	skos:exactMatch	SCTID:363009005	semapv:ManualMappingCuration
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	SCTID:2109003	semapv:ManualMappingCuration
MONDO:0000078	acrocephalopolysyndactyly	skos:exactMatch	SCTID:205260006	semapv:ManualMappingCuration
MONDO:0000082	pelvic organ prolapse	skos:exactMatch	SCTID:237113009	semapv:ManualMappingCuration
MONDO:0000087	polymicrogyria	skos:exactMatch	SCTID:4945003	semapv:ManualMappingCuration
MONDO:0000088	precocious puberty	skos:exactMatch	SCTID:400179000	semapv:ManualMappingCuration
MONDO:0000107	auriculocondylar syndrome	skos:exactMatch	SCTID:702443003	semapv:ManualMappingCuration
MONDO:0000115	Chiari malformation	skos:exactMatch	SCTID:253184003	semapv:ManualMappingCuration
MONDO:0000127	geleophysic dysplasia	skos:exactMatch	SCTID:28557005	semapv:ManualMappingCuration
MONDO:0000128	giant axonal neuropathy	skos:exactMatch	SCTID:128207002	semapv:ManualMappingCuration
MONDO:0000129	glutaric aciduria	skos:exactMatch	SCTID:28987007	semapv:ManualMappingCuration
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	skos:exactMatch	SCTID:234633000	semapv:ManualMappingCuration
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:exactMatch	SCTID:238626006	semapv:ManualMappingCuration
MONDO:0000138	metaphyseal chondrodysplasia	skos:exactMatch	SCTID:28681006	semapv:ManualMappingCuration
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	SCTID:700056005	semapv:ManualMappingCuration
MONDO:0000151	symphalangism	skos:exactMatch	SCTID:253975004	semapv:ManualMappingCuration
MONDO:0000156	trigonocephaly	skos:exactMatch	SCTID:28740008	semapv:ManualMappingCuration
MONDO:0000158	developmental dysplasia of the hip	skos:exactMatch	SCTID:52781008	semapv:ManualMappingCuration
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	skos:exactMatch	SCTID:111504002	semapv:ManualMappingCuration
MONDO:0000179	Neu-Laxova syndrome	skos:exactMatch	SCTID:77817004	semapv:ManualMappingCuration
MONDO:0000190	ventricular fibrillation	skos:exactMatch	SCTID:71908006	semapv:ManualMappingCuration
MONDO:0000193	cortisone reductase deficiency	skos:exactMatch	SCTID:124138004	semapv:ManualMappingCuration
MONDO:0000200	Zimmermann-Laband syndrome	skos:exactMatch	SCTID:699447001	semapv:ManualMappingCuration
MONDO:0000212	hypercalcemia, infantile	skos:exactMatch	SCTID:276645004	semapv:ManualMappingCuration
MONDO:0000212	hypercalcemia, infantile	skos:exactMatch	SCTID:34225008	semapv:ManualMappingCuration
MONDO:0000214	hypermanganesemia with dystonia	skos:exactMatch	SCTID:768553002	semapv:ManualMappingCuration
MONDO:0000222	seminal vesicle acute gonorrhea	skos:exactMatch	SCTID:65049003	semapv:ManualMappingCuration
MONDO:0000225	human monocytic ehrlichiosis	skos:exactMatch	SCTID:359747000	semapv:ManualMappingCuration
MONDO:0000226	mineral metabolism disease	skos:exactMatch	SCTID:45744005	semapv:ManualMappingCuration
MONDO:0000227	African tick-bite fever	skos:exactMatch	SCTID:415561000	semapv:ManualMappingCuration
MONDO:0000231	Far eastern spotted fever	skos:exactMatch	SCTID:472822008	semapv:ManualMappingCuration
MONDO:0000238	obsolete pestis minor	skos:exactMatch	SCTID:186287003	semapv:ManualMappingCuration
MONDO:0000239	adiaspiromycosis	skos:exactMatch	SCTID:23892008	semapv:ManualMappingCuration
MONDO:0000240	invasive aspergillosis	skos:exactMatch	SCTID:721798004	semapv:ManualMappingCuration
MONDO:0000241	Keshan disease	skos:exactMatch	SCTID:46939000	semapv:ManualMappingCuration
MONDO:0000242	tinea barbae	skos:exactMatch	SCTID:399329002	semapv:ManualMappingCuration
MONDO:0000245	tinea imbricata	skos:exactMatch	SCTID:240699006	semapv:ManualMappingCuration
MONDO:0000248	dengue shock syndrome	skos:exactMatch	SCTID:409671005	semapv:ManualMappingCuration
MONDO:0000249	secretory diarrhea	skos:exactMatch	SCTID:15699003	semapv:ManualMappingCuration
MONDO:0000250	osmotic diarrheal disease	skos:exactMatch	SCTID:2946003	semapv:ManualMappingCuration
MONDO:0000252	inflammatory diarrhea	skos:exactMatch	SCTID:95544006	semapv:ManualMappingCuration
MONDO:0000253	piedra	skos:exactMatch	SCTID:402135006	semapv:ManualMappingCuration
MONDO:0000254	cutaneous mycosis	skos:exactMatch	SCTID:14560005	semapv:ManualMappingCuration
MONDO:0000256	systemic mycosis	skos:exactMatch	SCTID:399314004	semapv:ManualMappingCuration
MONDO:0000257	acute diarrhea	skos:exactMatch	SCTID:409966000	semapv:ManualMappingCuration
MONDO:0000261	adenoiditis	skos:exactMatch	SCTID:70020005	semapv:ManualMappingCuration
MONDO:0000262	otomycosis	skos:exactMatch	SCTID:53316003	semapv:ManualMappingCuration
MONDO:0000263	laryngotracheitis	skos:exactMatch	SCTID:55130001	semapv:ManualMappingCuration
MONDO:0000265	aspiration pneumonia	skos:exactMatch	SCTID:422588002	semapv:ManualMappingCuration
MONDO:0000270	lower respiratory tract disorder	skos:exactMatch	SCTID:128272009	semapv:ManualMappingCuration
MONDO:0000271	tuberculous salpingitis	skos:exactMatch	SCTID:49558004	semapv:ManualMappingCuration
MONDO:0000276	Powassan encephalitis	skos:exactMatch	SCTID:416707008	semapv:ManualMappingCuration
MONDO:0000286	Epstein-Barr virus hepatitis	skos:exactMatch	SCTID:302919001	semapv:ManualMappingCuration
MONDO:0000290	primary amebic meningoencephalitis	skos:exactMatch	SCTID:721816008	semapv:ManualMappingCuration
MONDO:0000291	granulomatous amebic encephalitis	skos:exactMatch	SCTID:230187000	semapv:ManualMappingCuration
MONDO:0000293	coenurosis	skos:exactMatch	SCTID:24360007	semapv:ManualMappingCuration
MONDO:0000294	mesocestoidiasis	skos:exactMatch	SCTID:85750001	semapv:ManualMappingCuration
MONDO:0000295	acanthocephaliasis	skos:exactMatch	SCTID:105713003	semapv:ManualMappingCuration
MONDO:0000298	dioctophymiasis	skos:exactMatch	SCTID:40410004	semapv:ManualMappingCuration
MONDO:0000299	thelaziasis	skos:exactMatch	SCTID:46477004	semapv:ManualMappingCuration
MONDO:0000301	ophthalmomyiasis	skos:exactMatch	SCTID:48216006	semapv:ManualMappingCuration
MONDO:0000302	basidiobolomycosis	skos:exactMatch	SCTID:4921002	semapv:ManualMappingCuration
MONDO:0000303	conidiobolomycosis	skos:exactMatch	SCTID:240783007	semapv:ManualMappingCuration
MONDO:0000304	penicilliosis	skos:exactMatch	SCTID:372936000	semapv:ManualMappingCuration
MONDO:0000304	penicilliosis	skos:exactMatch	SCTID:713315007	semapv:ManualMappingCuration
MONDO:0000306	trichosporonosis	skos:exactMatch	SCTID:240761008	semapv:ManualMappingCuration
MONDO:0000309	aniseikonia	skos:exactMatch	SCTID:16059006	semapv:ManualMappingCuration
MONDO:0000313	hypophosphatemia	skos:exactMatch	SCTID:4996001	semapv:ManualMappingCuration
MONDO:0000320	glandular tularemia	skos:exactMatch	SCTID:21857006	semapv:ManualMappingCuration
MONDO:0000321	typhoidal tularemia	skos:exactMatch	SCTID:398554008	semapv:ManualMappingCuration
MONDO:0000327	Buruli ulcer disease	skos:exactMatch	SCTID:15845006	semapv:ManualMappingCuration
MONDO:0000328	hyperphosphatemia	skos:exactMatch	SCTID:20165001	semapv:ManualMappingCuration
MONDO:0000332	sennetsu fever	skos:exactMatch	SCTID:21013006	semapv:ManualMappingCuration
MONDO:0000333	early congenital syphilis	skos:exactMatch	SCTID:4359001	semapv:ManualMappingCuration
MONDO:0000334	multinodular goiter	skos:exactMatch	SCTID:237570007	semapv:ManualMappingCuration
MONDO:0000337	exanthema subitum	skos:exactMatch	SCTID:54385001	semapv:ManualMappingCuration
MONDO:0000338	variola major infectious disease	skos:exactMatch	SCTID:47452006	semapv:ManualMappingCuration
MONDO:0000342	O'nyong'nyong fever	skos:exactMatch	SCTID:85579005	semapv:ManualMappingCuration
MONDO:0000344	Ross river fever	skos:exactMatch	SCTID:602001	semapv:ManualMappingCuration
MONDO:0000345	Oropouche fever	skos:exactMatch	SCTID:72880002	semapv:ManualMappingCuration
MONDO:0000351	disorder of methionine catabolism	skos:exactMatch	SCTID:43123004	semapv:ManualMappingCuration
MONDO:0000355	Ullrich congenital muscular dystrophy	skos:exactMatch	SCTID:240062007	semapv:ManualMappingCuration
MONDO:0000358	orofacial cleft	skos:exactMatch	SCTID:449790007	semapv:ManualMappingCuration
MONDO:0000365	primary congenital glaucoma	skos:exactMatch	SCTID:415176004	semapv:ManualMappingCuration
MONDO:0000367	taeniasis	skos:exactMatch	SCTID:69163003	semapv:ManualMappingCuration
MONDO:0000368	extrapulmonary tuberculosis	skos:exactMatch	SCTID:423997002	semapv:ManualMappingCuration
MONDO:0000369	abdominal tuberculosis	skos:exactMatch	SCTID:447330002	semapv:ManualMappingCuration
MONDO:0000371	oral cavity carcinoma in situ	skos:exactMatch	SCTID:92660005	semapv:ManualMappingCuration
MONDO:0000372	pharynx carcinoma in situ	skos:exactMatch	SCTID:92681005	semapv:ManualMappingCuration
MONDO:0000375	bronchus carcinoma in situ	skos:exactMatch	SCTID:92557009	semapv:ManualMappingCuration
MONDO:0000376	respiratory system cancer	skos:exactMatch	SCTID:449096009	semapv:ManualMappingCuration
MONDO:0000382	respiratory system benign neoplasm	skos:exactMatch	SCTID:255166003	semapv:ManualMappingCuration
MONDO:0000384	bladder benign neoplasm	skos:exactMatch	SCTID:91992005	semapv:ManualMappingCuration
MONDO:0000387	hypochromic microcytic anemia	skos:exactMatch	SCTID:44666001	semapv:ManualMappingCuration
MONDO:0000389	atelosteogenesis	skos:exactMatch	SCTID:43814000	semapv:ManualMappingCuration
MONDO:0000390	vitelliform macular dystrophy	skos:exactMatch	SCTID:90036004	semapv:ManualMappingCuration
MONDO:0000396	spastic cerebral palsy	skos:exactMatch	SCTID:230773005	semapv:ManualMappingCuration
MONDO:0000397	ataxic cerebral palsy	skos:exactMatch	SCTID:278512001	semapv:ManualMappingCuration
MONDO:0000400	mixed cerebral palsy	skos:exactMatch	SCTID:702318008	semapv:ManualMappingCuration
MONDO:0000402	small cell carcinoma	skos:exactMatch	SCTID:11010461000119101	semapv:ManualMappingCuration
MONDO:0000405	anal canal cancer	skos:exactMatch	SCTID:363352004	semapv:ManualMappingCuration
MONDO:0000408	fetal alcohol spectrum disorder	skos:exactMatch	SCTID:609437000	semapv:ManualMappingCuration
MONDO:0000409	chorioamnionitis	skos:exactMatch	SCTID:11612004	semapv:ManualMappingCuration
MONDO:0000410	funisitis	skos:exactMatch	SCTID:396343006	semapv:ManualMappingCuration
MONDO:0000425	X-linked disease	skos:exactMatch	SCTID:128430005	semapv:ManualMappingCuration
MONDO:0000426	autosomal dominant disease	skos:exactMatch	SCTID:11164009	semapv:ManualMappingCuration
MONDO:0000429	autosomal genetic disease	skos:exactMatch	SCTID:1899006	semapv:ManualMappingCuration
