#curie_map:
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  Orphanet: http://www.orpha.net/ORDO/Orphanet_
#  skos: http://www.w3.org/2004/02/skos/core#
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: '2021-05-20'
#subject_source: http://purl.obolibrary.org/obo/mondo.owl
subject_id	predicate_id	object_id	match_type
MONDO:0012339	skos:closeMatch	Orphanet:555	HumanCurated
MONDO:0012340	skos:closeMatch	Orphanet:555	HumanCurated
MONDO:0012341	skos:closeMatch	Orphanet:555	HumanCurated
MONDO:0012377	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0012268	skos:closeMatch	Orphanet:319269	HumanCurated
MONDO:0012261	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0012236	skos:closeMatch	Orphanet:2335	HumanCurated
MONDO:0012292	skos:closeMatch	Orphanet:284102	HumanCurated
MONDO:0012291	skos:closeMatch	Orphanet:69127	HumanCurated
MONDO:0012294	skos:closeMatch	Orphanet:240935	HumanCurated
MONDO:0024171	skos:closeMatch	Orphanet:3014	HumanCurated
MONDO:0012119	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0012121	skos:closeMatch	Orphanet:2794	HumanCurated
MONDO:0012111	skos:closeMatch	Orphanet:155	HumanCurated
MONDO:0012112	skos:closeMatch	Orphanet:155	HumanCurated
MONDO:0012169	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0012158	skos:closeMatch	Orphanet:2335	HumanCurated
MONDO:0012092	skos:closeMatch	Orphanet:608654	HumanCurated
MONDO:0012081	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0012082	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0012079	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0012015	skos:closeMatch	Orphanet:651	HumanCurated
MONDO:0012069	skos:closeMatch	Orphanet:2335	HumanCurated
MONDO:0012040	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012040	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0014448	skos:closeMatch	Orphanet:276271	HumanCurated
MONDO:0014322	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0014321	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0016955	skos:closeMatch	Orphanet:1739	HumanCurated
MONDO:0014359	skos:closeMatch	Orphanet:423668	HumanCurated
MONDO:0014264	skos:closeMatch	Orphanet:2794	HumanCurated
MONDO:0014252	skos:closeMatch	Orphanet:426	HumanCurated
MONDO:0016898	skos:closeMatch	Orphanet:1611	HumanCurated
MONDO:0022556	skos:closeMatch	Orphanet:2705	HumanCurated
MONDO:0009591	skos:closeMatch	Orphanet:751	HumanCurated
MONDO:0022545	skos:closeMatch	Orphanet:2936	HumanCurated
MONDO:0010565	skos:closeMatch	Orphanet:319691	HumanCurated
MONDO:0010564	skos:closeMatch	Orphanet:319698	HumanCurated
MONDO:0010546	skos:closeMatch	Orphanet:2227	HumanCurated
MONDO:0009575	skos:closeMatch	Orphanet:498277	HumanCurated
MONDO:0009606	skos:closeMatch	Orphanet:139380	HumanCurated
MONDO:0009606	skos:closeMatch	Orphanet:139373	HumanCurated
MONDO:0010480	skos:closeMatch	Orphanet:362	HumanCurated
MONDO:0010469	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0009478	skos:closeMatch	Orphanet:169446	HumanCurated
MONDO:0010449	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0009442	skos:closeMatch	Orphanet:2270	HumanCurated
MONDO:0010440	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0010427	skos:closeMatch	Orphanet:163953	HumanCurated
MONDO:0010435	skos:closeMatch	Orphanet:651	HumanCurated
MONDO:0010369	skos:closeMatch	Orphanet:651	HumanCurated
MONDO:0010350	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0010341	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0010340	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0010343	skos:closeMatch	Orphanet:1162	HumanCurated
MONDO:0010342	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0022311	skos:closeMatch	Orphanet:1502	HumanCurated
MONDO:0010327	skos:closeMatch	Orphanet:85295	HumanCurated
MONDO:0010373	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0012940	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012940	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012930	skos:closeMatch	Orphanet:178503	HumanCurated
MONDO:0010321	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0012973	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012973	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012957	skos:closeMatch	Orphanet:802	HumanCurated
MONDO:0012958	skos:closeMatch	Orphanet:802	HumanCurated
MONDO:0012956	skos:closeMatch	Orphanet:802	HumanCurated
MONDO:0012887	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012887	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012885	skos:closeMatch	Orphanet:139477	HumanCurated
MONDO:0012886	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012886	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012875	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012875	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0010283	skos:closeMatch	Orphanet:85281	HumanCurated
MONDO:0009279	skos:closeMatch	Orphanet:99777	HumanCurated
MONDO:0012804	skos:closeMatch	Orphanet:155	HumanCurated
MONDO:0012801	skos:closeMatch	Orphanet:106	HumanCurated
MONDO:0012861	skos:closeMatch	Orphanet:619	HumanCurated
MONDO:0012845	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012845	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012852	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012852	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012853	skos:closeMatch	Orphanet:2963	HumanCurated
MONDO:0012837	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012837	skos:closeMatch	Orphanet:771	HumanCurated
MONDO:0012838	skos:closeMatch	Orphanet:206	HumanCurated
MONDO:0012838	skos:closeMatch	Orphanet:771	HumanCurated
