iri,equivalent_class
TBD:0000001,EFO:0000408
TBD:0000002,DC:0000000
TBD:0000003,DC:0000002
TBD:0000004,DC:0000011
TBD:0000005,DC:0000016
TBD:0000006,DC:0000017
TBD:0000007,DC:0000046
TBD:0000008,DC:0000054
TBD:0000009,DC:0000057
TBD:0000010,DC:0000076
TBD:0000011,DC:0000080
TBD:0000012,DC:0000083
TBD:0000013,DC:0000084
TBD:0000014,DC:0000090
TBD:0000015,DC:0000094
TBD:0000016,DC:0000103
TBD:0000017,DC:0000110
TBD:0000018,DC:0000127
TBD:0000019,DC:0000128
TBD:0000020,DC:0000130
TBD:0000021,DC:0000131
TBD:0000022,DC:0000133
TBD:0000023,DC:0000134
TBD:0000024,DC:0000143
TBD:0000025,DC:0000146
TBD:0000026,DC:0000148
TBD:0000027,DC:0000149
TBD:0000028,DC:0000151
TBD:0000029,DC:0000153
TBD:0000030,DC:0000154
TBD:0000031,DC:0000158
TBD:0000032,DC:0000159
TBD:0000033,DC:0000166
TBD:0000034,DC:0000174
TBD:0000035,DC:0000175
TBD:0000036,DC:0000181
TBD:0000037,DC:0000184
TBD:0000038,DC:0000192
TBD:0000039,DC:0000194
TBD:0000040,DC:0000202
TBD:0000041,DC:0000203
TBD:0000042,DC:0000204
TBD:0000043,DC:0000212
TBD:0000044,DC:0000215
TBD:0000045,DC:0000217
TBD:0000046,DC:0000219
TBD:0000047,DC:0000222
TBD:0000048,DC:0000223
TBD:0000049,DC:0000227
TBD:0000050,DC:0000229
TBD:0000051,DC:0000234
TBD:0000052,DC:0000245
TBD:0000053,DC:0000261
TBD:0000054,DC:0000263
TBD:0000055,DC:0000264
TBD:0000056,DC:0000267
TBD:0000057,DC:0000268
TBD:0000058,DC:0000271
TBD:0000059,DC:0000274
TBD:0000060,DC:0000276
TBD:0000061,DC:0000277
TBD:0000062,DC:0000278
TBD:0000063,DC:0000279
TBD:0000064,DC:0000280
TBD:0000065,DC:0000281
TBD:0000066,DC:0000283
TBD:0000067,DC:0000284
TBD:0000068,DC:0000289
TBD:0000069,DC:0000291
TBD:0000070,DC:0000298
TBD:0000071,DC:0000305
TBD:0000072,DC:0000306
TBD:0000073,DC:0000310
TBD:0000074,DC:0000320
TBD:0000075,DC:0000322
TBD:0000076,DC:0000323
TBD:0000077,DC:0000328
TBD:0000078,DC:0000331
TBD:0000079,DC:0000341
TBD:0000080,DC:0000342
TBD:0000081,DC:0000345
TBD:0000082,DC:0000354
TBD:0000083,DC:0000356
TBD:0000084,DC:0000357
TBD:0000085,DC:0000358
TBD:0000086,DC:0000362
TBD:0000087,DC:0000363
TBD:0000088,DC:0000367
TBD:0000089,DC:0000371
TBD:0000090,DC:0000373
TBD:0000091,DC:0000374
TBD:0000092,DC:0000381
TBD:0000093,DC:0000398
TBD:0000094,DC:0000412
TBD:0000095,DC:0000416
TBD:0000096,DC:0000426
TBD:0000097,DC:0000436
TBD:0000098,DC:0000438
TBD:0000099,DC:0000442
TBD:0000100,DC:0000443
TBD:0000101,DC:0000445
TBD:0000102,DC:0000452
TBD:0000103,DC:0000457
TBD:0000104,DC:0000469
TBD:0000105,DC:0000470
TBD:0000106,DC:0000472
TBD:0000107,DC:0000475
TBD:0000108,DC:0000476
TBD:0000109,DC:0000478
TBD:0000110,DC:0000479
TBD:0000111,DC:0000486
TBD:0000112,DC:0000488
TBD:0000113,DC:0000490
TBD:0000114,DC:0000491
TBD:0000115,DC:0000492
TBD:0000116,DC:0000498
TBD:0000117,DC:0000503
TBD:0000118,DC:0000504
TBD:0000119,DC:0000506
TBD:0000120,DC:0000511
TBD:0000121,DC:0000512
TBD:0000122,DC:0000516
TBD:0000123,DC:0000517
TBD:0000124,DC:0000521
TBD:0000125,DC:0000522
TBD:0000126,DC:0000523
TBD:0000127,DC:0000524
TBD:0000128,DC:0000525
TBD:0000129,DC:0000526
TBD:0000130,DC:0000536
TBD:0000131,DC:0000540
TBD:0000132,DC:0000541
TBD:0000133,DC:0000544
TBD:0000134,DC:0000545
TBD:0000135,DC:0000549
TBD:0000136,DC:0000550
TBD:0000137,DC:0000556
TBD:0000138,DC:0000558
TBD:0000139,DC:0000561
TBD:0000140,DC:0000563
TBD:0000141,DC:0000564
TBD:0000142,DC:0000565
TBD:0000143,DC:0000566
TBD:0000144,DC:0000580
TBD:0000145,DC:0000581
TBD:0000146,DC:0000583
TBD:0000147,DC:0000587
TBD:0000148,DC:0000590
TBD:0000149,DC:0000592
TBD:0000150,DC:0000598
TBD:0000151,DC:0000599
TBD:0000152,DC:0000600
TBD:0000153,DC:0000602
TBD:0000154,DC:0000604
TBD:0000155,DC:0000605
TBD:0000156,DC:0000606
TBD:0000157,DC:0000616
TBD:0000158,DC:0000618
TBD:0000159,DC:0000621
TBD:0000160,DC:0000624
TBD:0000161,DC:0000631
TBD:0000162,DC:0000634
TBD:0000163,DC:0000638
TBD:0000164,DC:0000643
TBD:0000165,DC:0000645
TBD:0000166,DC:0000646
TBD:0000167,DC:0000649
TBD:0000168,DC:0000656
TBD:0000169,DC:0000657
TBD:0000170,DC:0000658
TBD:0000171,DC:0000659
TBD:0000172,DC:0000660
TBD:0000173,DC:0000661
TBD:0000174,DC:0000663
TBD:0000175,DC:0000668
TBD:0000176,DC:0000669
TBD:0000177,DC:0000670
TBD:0000178,DC:0000671
TBD:0000179,DC:0000672
TBD:0000180,DC:0000674
TBD:0000181,DC:0000676
TBD:0000182,DC:0000677
TBD:0000183,DC:0000680
TBD:0000184,DC:0000684
TBD:0000185,DC:0000687
TBD:0000186,DC:0000688
TBD:0000187,DC:0000689
