Harrison Label	Mondo ID	Mondo label	Mondo ID	Mondo label	Notes
LABEL	ID	A skos:altLabel	SC %		A rdfs:comment
Anxiety Disorders	MONDO:0005618	anxiety disorder	MONDO:0002025	psychiatric disorder	
Depression and Depressive Disorders	MONDO:0002050	depressive disorder	MONDO:0002025	psychiatric disorder	
Bipolar Disorder	MONDO:0004985	bipolar disorder	MONDO:0002025	psychiatric disorder	
Somatic Symptom Disorder	MONDO:0003117	MONDO_0003117	MONDO:0002025	psychiatric disorder	
Feeding and Eating Disorders	MONDO:0005451	eating disorder	MONDO:0002025	psychiatric disorder	
Personality Disorders	MONDO:0002028	personality disorder (disease)	MONDO:0002025	psychiatric disorder	
Schizophrenia	MONDO:0005090	schizophrenia (disease)	MONDO:0002025	psychiatric disorder	
Alcohol and Alcohol Use Disorders	MONDO:0021698	alcohol-related disorders	MONDO:0002025	psychiatric disorder	
Opioid-Related Disorders	MONDO:0005530	opiate dependence	MONDO:0002025	psychiatric disorder	Narrow synonym
Cocaine and Other Commonly Used Drugs	MONDO:0002494	substance-related disorder	MONDO:0002025	psychiatric disorder	broader term
Nicotine Addiction	MONDO:0008575	nicotine dependence	MONDO:0002025	psychiatric disorder	
Seizures and Epilepsy	MONDO:0005027	epilepsy	MONDO:0002602	central nervous system disease	
Cerebrovascular Diseases	MONDO:0011057	cerebrovascular disorder	MONDO:0002602	central nervous system disease	
Ischemic Stroke	MONDO:0005098	stroke disorder	MONDO:0002602	central nervous system disease	Mondo doesn't have ischemic stroke, it is in HPO
Intracranial Hemorrhage	MONDO:0005049	intracranial hemorrhage	MONDO:0002602	central nervous system disease	
Migraine and Other Primary Headache Disorders	MONDO:0021146	headache disorder	MONDO:0002602	central nervous system disease	MONDO_0005277 migraine disorder' is a grandchild of headache disorder
Alzheimer’s Disease	MONDO:0004975	Alzheimer disease	MONDO:0002602	central nervous system disease	
Frontotemporal Dementia	MONDO:0017276	frontotemporal dementia	MONDO:0002602	central nervous system disease	
Vascular Dementia	MONDO:0004648	vascular dementia	MONDO:0002602	central nervous system disease	
Dementia with Lewy Bodies	MONDO:0007488	Lewy body dementia	MONDO:0002602	central nervous system disease	
Parkinson’s Disease	MONDO:0005180	Parkinson disease	MONDO:0002602	central nervous system disease	
Tremor, Chorea, and Other Movement Disorders	MONDO:0005395	movement disorder	MONDO:0002602	central nervous system disease	
Amyotrophic Lateral Sclerosis and Other Motor Neuron Diseases	MONDO:0020128	motor neuron disease	MONDO:0002602	central nervous system disease	MONDO_0004976 'amyotrophic lateral sclerosis'
Prion Diseases	MONDO:0018926	human prion disease	MONDO:0002602	central nervous system disease	
Ataxic Disorders	MONDO:0100308	atactic disorder	MONDO:0002602	central nervous system disease	This is on a PR: https://github.com/monarch-initiative/mondo/pull/2867
Disorders of the Autonomic Nervous System	MONDO:0001292	autonomic nervous system disease	MONDO:0002602	central nervous system disease	
Trigeminal Neuralgia, Bell’s Palsy, and Other Cranial Nerve Disorders	MONDO:0003569	cranial nerve neuropathy	MONDO:0002602	central nervous system disease	I think this is the grouping class that groups all of these
Diseases of the Spinal Cord	MONDO:0002545	spinal cord disease	MONDO:0002602	central nervous system disease	
Concussion and Other Traumatic Brain Injuries	MONDO:0043510	brain injury	MONDO:0002602	central nervous system disease	
Multiple Sclerosis	MONDO:0005301	multiple sclerosis	MONDO:0002602	central nervous system disease	
Neuromyelitis Optica	MONDO:0019100	neuromyelitis optica	MONDO:0002602	central nervous system disease	
Chronic Fatigue Syndrome	MONDO:0005404	myalgic encephalomeyelitis/chronic fatigue syndrome	MONDO:0002602	central nervous system disease	
Psychiatric and Addiction Disorders	MONDO:0002025	psychiatric disorder	MONDO:0002602	central nervous system disease	
Diseases of the Central Nervous System	MONDO:0002602	central nervous system disease	MONDO:0005071	nervous system disorder	
Nerve and Muscle Disorders	MONDO:0019056	neuromuscular disease	MONDO:0005071	nervous system disorder	
Peripheral Neuropathy	MONDO:0005244	peripheral neuropathy	MONDO:0019056	neuromuscular disease	
Guillain-Barré Syndrome and Other Immune-Mediated Neuropathies	MONDO:0016218	Guillain-Barre syndrome	MONDO:0019056	neuromuscular disease	We don't have a class called 'immune mediated neuropathy, closest match is: MONDO_0000590 'autoimmune disease of peripheral nervous system'
Myasthenia Gravis and Other Diseases of the Neuromuscular Junction	MONDO:0020124	neuromuscular junction disease	MONDO:0019056	neuromuscular disease	Myasthenia Gravis is a descendent of neuromuscular junction disease
Muscular Dystrophies and Other Muscle Diseases	MONDO:0020121	muscular dystrophy	MONDO:0019056	neuromuscular disease	muscular dystrophy' is a child of 'neuromuscular disease' and 'skeletal muscle disease'
Neurologic Disorders	MONDO:0005071	nervous system disorder	MONDO:0000001	disease or disorder	
Disease (Harrison classification)	MONDO:0000001	disease or disorder			
