mondo_id	subset	subset_source	impact
ID	AI oboInOwl:inSubset	>A oboInOwl:source	
MONDO:0009061	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	21065
MONDO:0021193	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	222
MONDO:0019473	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	241
MONDO:0002171	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	567
MONDO:0012980	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	55
MONDO:0021072	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	24
MONDO:0007097	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	33
MONDO:0004830	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	29
MONDO:0015270	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	192
MONDO:0007216	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	484
MONDO:0005129	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	5164
MONDO:0008322	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	887
MONDO:0016471	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	15523
MONDO:0012531	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	139
MONDO:0007540	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	2745
MONDO:0002070	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	869
MONDO:0024635	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	41
MONDO:0100284	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	515
MONDO:0009319	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	798
MONDO:0001110	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	86
MONDO:0010010	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	168
MONDO:0012125	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	59
MONDO:0007381	http://purl.obolibrary.org/obo/mondo#otar	MONDO:OTAR	148
