iri,iri label,substance,substance label
http://purl.obolibrary.org/obo/MONDO_0000789,Atlantic cod allergy,http://purl.obolibrary.org/obo/NCBITaxon_8049,Gadus morhua
http://purl.obolibrary.org/obo/MONDO_0000790,Atlantic salmon allergy,http://purl.obolibrary.org/obo/NCBITaxon_8030,Salmo salar
http://purl.obolibrary.org/obo/MONDO_0000802,Indian prawn allergy,http://purl.obolibrary.org/obo/FOODON_03000005,Indian prawn
http://purl.obolibrary.org/obo/MONDO_0000773,Timothy grass allergy,http://purl.obolibrary.org/obo/NCBITaxon_15957,Phleum pratense
http://purl.obolibrary.org/obo/MONDO_0000779,apple allergy,http://purl.obolibrary.org/obo/NCBITaxon_3750,Malus domestica
http://purl.obolibrary.org/obo/MONDO_0000780,apricot allergy,http://purl.obolibrary.org/obo/NCBITaxon_36596,Prunus armeniaca
http://purl.obolibrary.org/obo/MONDO_0025518,aspirin allergy,http://purl.obolibrary.org/obo/CHEBI_15365,acetylsalicylic acid
http://purl.obolibrary.org/obo/MONDO_0000794,beta-lactam allergy,http://purl.obolibrary.org/obo/CHEBI_35627,beta-lactam
http://purl.obolibrary.org/obo/MONDO_0000800,brown shrimp allergy,http://purl.obolibrary.org/obo/FOODON_03000003,brown shrimp
http://purl.obolibrary.org/obo/MONDO_0000791,carp allergy,http://purl.obolibrary.org/obo/NCBITaxon_7962,Cyprinus carpio
http://purl.obolibrary.org/obo/MONDO_0000796,cow milk allergy (disease),http://purl.obolibrary.org/obo/FOODON_00001771,cow milk based food product
http://purl.obolibrary.org/obo/MONDO_0000799,crustacean allergy,http://purl.obolibrary.org/obo/FOODON_00001792,crustacean food product
http://purl.obolibrary.org/obo/MONDO_0000775,drug allergy,http://purl.obolibrary.org/obo/ECTO_0000509,exposure to drug
http://purl.obolibrary.org/obo/MONDO_0005741,egg allergy,http://purl.obolibrary.org/obo/FOODON_03420194,egg
http://purl.obolibrary.org/obo/MONDO_0000788,fish allergy,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product
http://purl.obolibrary.org/obo/MONDO_0002497,food allergy,http://purl.obolibrary.org/obo/FOODON_00002403,food material
http://purl.obolibrary.org/obo/MONDO_0000606,gluten allergy,http://purl.obolibrary.org/obo/FOODON_03420177,gluten
http://purl.obolibrary.org/obo/MONDO_0000797,goat milk allergy,http://purl.obolibrary.org/obo/FOODON_00001911,goat dairy food product
http://purl.obolibrary.org/obo/MONDO_0000801,green mud crab allergy,http://purl.obolibrary.org/obo/FOODON_03000004,green mud crab
http://purl.obolibrary.org/obo/MONDO_0000806,horned turban snail allergy,http://purl.obolibrary.org/obo/NCBITaxon_63673,Turbo cornutus
http://purl.obolibrary.org/obo/MONDO_0000776,metal allergy,http://purl.obolibrary.org/obo/CHEBI_88184,metal allergen
http://purl.obolibrary.org/obo/MONDO_0000798,mollusc allergy,http://purl.obolibrary.org/obo/FOODON_00002044,mollusc food product
http://purl.obolibrary.org/obo/MONDO_0006872,nut allergic reaction,http://purl.obolibrary.org/obo/FOODON_03400685,022  tree nuts (tn) (ccpr)
http://purl.obolibrary.org/obo/MONDO_0000785,peach allergy,http://purl.obolibrary.org/obo/NCBITaxon_3760,Prunus persica
http://purl.obolibrary.org/obo/MONDO_0000795,penicillin allergy,http://purl.obolibrary.org/obo/CHEBI_17334,penicillin
http://purl.obolibrary.org/obo/MONDO_0000786,plum allergy,http://purl.obolibrary.org/obo/NCBITaxon_3758,Prunus domestica
http://purl.obolibrary.org/obo/MONDO_0000772,pollen allergy,http://purl.obolibrary.org/obo/FOODON_03420279,pollen
http://purl.obolibrary.org/obo/MONDO_0000793,rainbow trout allergy,http://purl.obolibrary.org/obo/NCBITaxon_8022,Oncorhynchus mykiss
http://purl.obolibrary.org/obo/MONDO_0025517,shrimp allergy,http://purl.obolibrary.org/obo/FOODON_00002239,shrimp food product
http://purl.obolibrary.org/obo/MONDO_0000805,snail allergy,http://purl.obolibrary.org/obo/FOODON_00002244,snail food product
http://purl.obolibrary.org/obo/MONDO_0000803,tiger prawn allergy,http://purl.obolibrary.org/obo/NCBITaxon_6687,Penaeus monodon
http://purl.obolibrary.org/obo/MONDO_0000787,tomato allergy,http://purl.obolibrary.org/obo/NCBITaxon_4081,Solanum lycopersicum
http://purl.obolibrary.org/obo/MONDO_0007021,wheat allergic disease,http://purl.obolibrary.org/obo/FOODON_00001141,wheat based food product
http://purl.obolibrary.org/obo/MONDO_0000804,white shrimp allergy,http://purl.obolibrary.org/obo/NCBITaxon_122378,Litopenaeus schmitti
