iri	iri label	location	location label
MONDO:0020541	Maligant granulosa cell tumor of ovary	CL:0000501	granulosa cell
MONDO:0000954	Meckel diverticulum cancer	UBERON:0003705	Meckel's diverticulum
MONDO:0004685	Waldeyer's ring cancer	UBERON:0001735	tonsillar ring
MONDO:0002817	adrenal gland cancer	UBERON:0002369	adrenal gland
MONDO:0003606	adrenal medulla cancer	UBERON:0001236	adrenal medulla
MONDO:0000919	ampulla of vater cancer	UBERON:0004913	hepatopancreatic ampulla
MONDO:0000405	anal canal cancer	UBERON:0000159	anal canal
MONDO:0001879	anus cancer	UBERON:0001245	anus
MONDO:0003215	apocrine sweat gland cancer	UBERON:0000382	apocrine sweat gland
MONDO:0001235	appendix cancer	UBERON:0001154	vermiform appendix
MONDO:0004637	aryepiglottic fold cancer	UBERON:0014385	aryepiglottic fold
MONDO:0002238	ascending colon cancer	UBERON:0001156	ascending colon
MONDO:0004532	auditory system cancer	UBERON:0016490	auditory system
MONDO:0003059	bile duct cancer	UBERON:0002394	bile duct
MONDO:0003060	biliary tract cancer	UBERON:0001173	biliary tree
MONDO:0001380	bladder dome cancer	UBERON:0006082	fundus of urinary bladder
MONDO:0001372	bladder neck cancer	UBERON:0001258	neck of urinary bladder
MONDO:0001375	bladder trigone cancer	UBERON:0001257	trigone of urinary bladder
MONDO:0002129	bone cancer	UBERON:0004765	skeletal element
MONDO:0021138	bone marrow cancer	UBERON:0002371	bone marrow
MONDO:0001657	brain cancer	UBERON:0000955	brain
MONDO:0002912	brain stem cancer	UBERON:0002298	brainstem
MONDO:0007254	breast cancer	UBERON:0000310	breast
MONDO:0001108	broad ligament malignant neoplasm	UBERON:0012332	broad ligament of uterus
MONDO:0001672	bronchus cancer	UBERON:0002185	bronchus
MONDO:0001063	cardia cancer	UBERON:0001162	cardia of stomach
MONDO:0000639	cartilage cancer	UBERON:0002418	cartilage tissue
MONDO:0002033	cecum cancer	UBERON:0001153	caecum
MONDO:0002714	central nervous system cancer	UBERON:0001017	central nervous system
MONDO:0002682	cerebral ventricle cancer	UBERON:0004086	brain ventricle
MONDO:0002731	cerebrum cancer	UBERON:0001893	telencephalon
MONDO:0002974	cervical cancer	UBERON:0000002	uterine cervix
MONDO:0004645	cheek mucosa cancer	UBERON:0006956	buccal mucosa
MONDO:0006700	choroid cancer	UBERON:0001776	optic choroid
MONDO:0002681	choroid plexus cancer	UBERON:0001886	choroid plexus
MONDO:0002969	ciliary body cancer	UBERON:0001775	ciliary body
MONDO:0002290	clitoris cancer	UBERON:0002411	clitoris
MONDO:0005575	colorectal cancer	UBERON:0012652	colorectum
MONDO:0003454	conjunctival cancer	UBERON:0001811	conjunctiva
MONDO:0002176	connective tissue cancer	UBERON:0002384	connective tissue
MONDO:0003802	cornea cancer	UBERON:0000964	cornea
MONDO:0002433	cranial nerve malignant neoplasm	UBERON:0001785	cranial nerve
MONDO:0001462	descending colon cancer	UBERON:0001158	descending colon
MONDO:0002786	diencephalic cancer	UBERON:0001894	diencephalon
MONDO:0002516	digestive system cancer	UBERON:0001007	digestive system
