iri,iri label,location,location label
MONDO:0004707,anal carcinoma in situ,UBERON:0000159,anal canal
MONDO:0000374,bile duct carcinoma in situ,UBERON:0002394,bile duct
MONDO:0004703,bladder carcinoma in situ,UBERON:0001255,urinary bladder
MONDO:0004658,breast carcinoma in situ,UBERON:0000310,breast
MONDO:0000375,bronchus carcinoma in situ,UBERON:0002185,bronchus
MONDO:0004693,cervix uteri carcinoma in situ,UBERON:0000002,uterine cervix
MONDO:0004663,colon carcinoma in situ,UBERON:0001155,colon
MONDO:0003315,endometrium carcinoma in situ,UBERON:0001295,endometrium
MONDO:0004708,esophagus carcinoma in situ,UBERON:0001043,esophagus
MONDO:0004659,eye carcinoma in situ,UBERON:0000970,eye
MONDO:0000373,gall bladder carcinoma in situ,UBERON:0002110,gall bladder
MONDO:0004698,intestine carcinoma in situ,UBERON:0000160,intestine
MONDO:0004732,kidney carcinoma in situ,UBERON:0002113,kidney
MONDO:0004696,larynx carcinoma in situ,UBERON:0001737,larynx
MONDO:0004636,lip carcinoma in situ,UBERON:0001833,lip
MONDO:0004715,liver carcinoma in situ,UBERON:0002107,liver
MONDO:0004660,lung carcinoma in situ,UBERON:0002048,lung
MONDO:0003784,nasal cavity carcinoma in situ,UBERON:0001707,nasal cavity
MONDO:0000371,oral cavity carcinoma in situ,UBERON:0000167,oral cavity
MONDO:0004671,penis carcinoma in situ,UBERON:0000989,penis
MONDO:0000372,pharynx carcinoma in situ,UBERON:0006562,pharynx
MONDO:0004623,prostate carcinoma in situ,UBERON:0002367,prostate gland
MONDO:0004725,rectum carcinoma in situ,UBERON:0001052,rectum
MONDO:0004641,skin carcinoma in situ,UBERON:0000014,zone of skin
MONDO:0004716,stomach carcinoma in situ,UBERON:0000945,stomach
MONDO:0004661,trachea carcinoma in situ,UBERON:0003126,trachea
MONDO:0004710,uterus carcinoma in situ,UBERON:0000995,uterus
