defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0003419	Bartholin gland adenoma	http://purl.obolibrary.org/obo/UBERON_0000460	major vestibular gland
http://purl.obolibrary.org/obo/MONDO_0021301	adenoma of nipple	http://purl.obolibrary.org/obo/UBERON_0002030	nipple
http://purl.obolibrary.org/obo/MONDO_0021303	adenoma of small intestine	http://purl.obolibrary.org/obo/UBERON_0002108	small intestine
http://purl.obolibrary.org/obo/MONDO_0003924	adrenal cortex adenoma	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex
http://purl.obolibrary.org/obo/MONDO_0006088	appendix adenoma	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0006108	bile duct adenoma	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0002058	breast adenoma	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0004302	chief cell adenoma	http://purl.obolibrary.org/obo/CL_0000446	chief cell of parathyroid gland
http://purl.obolibrary.org/obo/MONDO_0000527	colon adenoma	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0005484	colorectal adenoma	http://purl.obolibrary.org/obo/UBERON_0012652	colorectum
http://purl.obolibrary.org/obo/MONDO_0006180	digestive system adenoma	http://purl.obolibrary.org/obo/UBERON_0001555	digestive tract
http://purl.obolibrary.org/obo/MONDO_0003445	extrahepatic bile duct adenoma	http://purl.obolibrary.org/obo/UBERON_0003703	extrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0005032	follicular thyroid adenoma	http://purl.obolibrary.org/obo/UBERON_0005305	thyroid follicle
http://purl.obolibrary.org/obo/MONDO_0006216	gallbladder adenoma	http://purl.obolibrary.org/obo/UBERON_0002110	gall bladder
http://purl.obolibrary.org/obo/MONDO_0006221	gastric adenoma	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0003444	intrahepatic bile duct adenoma	http://purl.obolibrary.org/obo/UBERON_0003704	intrahepatic bile duct
http://purl.obolibrary.org/obo/MONDO_0003422	lung adenoma	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/MONDO_0003423	middle ear adenoma	http://purl.obolibrary.org/obo/UBERON_0001756	middle ear
http://purl.obolibrary.org/obo/MONDO_0002197	minor vestibular glands adenoma	http://purl.obolibrary.org/obo/UBERON_0000461	minor vestibular gland
http://purl.obolibrary.org/obo/MONDO_0006890	parathyroid gland adenoma	http://purl.obolibrary.org/obo/UBERON_0001132	parathyroid gland
http://purl.obolibrary.org/obo/MONDO_0000488	periampullary adenoma	http://purl.obolibrary.org/obo/UBERON_0012273	periampullary region of duodenum
http://purl.obolibrary.org/obo/MONDO_0006373	pituitary gland adenoma	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/MONDO_0002450	prostatic adenoma	http://purl.obolibrary.org/obo/UBERON_0002367	prostate gland
http://purl.obolibrary.org/obo/MONDO_0006391	pyloric gland adenoma	http://purl.obolibrary.org/obo/UBERON_0008861	pyloric gastric gland
http://purl.obolibrary.org/obo/MONDO_0000530	rectum adenoma	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0004005	rete ovarii adenoma	http://purl.obolibrary.org/obo/UBERON_0010185	rete ovarii
http://purl.obolibrary.org/obo/MONDO_0003893	rete testis adenoma	http://purl.obolibrary.org/obo/UBERON_0003959	rete testis
http://purl.obolibrary.org/obo/MONDO_0002375	sebaceous adenoma	http://purl.obolibrary.org/obo/UBERON_0001821	sebaceous gland
http://purl.obolibrary.org/obo/MONDO_0021110	sweat gland adenoma	http://purl.obolibrary.org/obo/UBERON_0001820	sweat gland
http://purl.obolibrary.org/obo/MONDO_0002454	thyroid adenoma	http://purl.obolibrary.org/obo/UBERON_0002046	thyroid gland
http://purl.obolibrary.org/obo/MONDO_0003434	vaginal adenoma	http://purl.obolibrary.org/obo/UBERON_0000996	vagina
