defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0017723	Sandhoff disease, adult form	http://purl.obolibrary.org/obo/MONDO_0010006	Sandhoff disease
http://purl.obolibrary.org/obo/MONDO_0060778	adult Fanconi syndrome	http://purl.obolibrary.org/obo/MONDO_0001083	Fanconi renotubular syndrome
http://purl.obolibrary.org/obo/MONDO_0016091	adult Krabbe disease	http://purl.obolibrary.org/obo/MONDO_0009499	Krabbe disease
http://purl.obolibrary.org/obo/MONDO_0100486	adult acne	http://purl.obolibrary.org/obo/MONDO_0011438	acne
http://purl.obolibrary.org/obo/MONDO_0100130	adult acute respiratory distress syndrome	http://purl.obolibrary.org/obo/MONDO_0006502	acute respiratory distress syndrome
http://purl.obolibrary.org/obo/MONDO_0001907	adult dermatomyositis	http://purl.obolibrary.org/obo/MONDO_0016367	dermatomyositis
http://purl.obolibrary.org/obo/MONDO_0015806	adult intestinal botulism	http://purl.obolibrary.org/obo/MONDO_0015805	intestinal botulism
http://purl.obolibrary.org/obo/MONDO_0003042	adult mesenchymal chondrosarcoma	http://purl.obolibrary.org/obo/MONDO_0006853	mesenchymal chondrosarcoma
http://purl.obolibrary.org/obo/MONDO_0003899	adult myxoid chondrosarcoma	http://purl.obolibrary.org/obo/MONDO_0003681	myxoid chondrosarcoma
http://purl.obolibrary.org/obo/MONDO_0019260	adult neuronal ceroid lipofuscinosis	http://purl.obolibrary.org/obo/MONDO_0016295	neuronal ceroid lipofuscinosis
http://purl.obolibrary.org/obo/MONDO_0004548	adult type testicular granulosa cell tumor	http://purl.obolibrary.org/obo/MONDO_0003395	testicular granulosa cell tumor
http://purl.obolibrary.org/obo/MONDO_0016601	adult-onset citrullinemia type I	http://purl.obolibrary.org/obo/MONDO_0008988	citrullinemia type I
http://purl.obolibrary.org/obo/MONDO_0020541	maligant granulosa cell tumor of ovary	http://purl.obolibrary.org/obo/MONDO_0023283	ovarian granulosa cell tumor
