defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0011551	TH-deficient dopa-responsive dystonia	http://purl.obolibrary.org/obo/MONDO_0016812	dopa-responsive dystonia
http://purl.obolibrary.org/obo/MONDO_0008762	autosomal recessive Alport syndrome	http://purl.obolibrary.org/obo/MONDO_0018965	Alport syndrome
http://purl.obolibrary.org/obo/MONDO_0002014	autosomal recessive Ehlers-Danlos syndrome, vascular type	http://purl.obolibrary.org/obo/MONDO_0017314	Ehlers-Danlos syndrome, vascular type
http://purl.obolibrary.org/obo/MONDO_0009486	autosomal recessive Kenny-Caffey syndrome	http://purl.obolibrary.org/obo/MONDO_0016516	Kenny-Caffey syndrome
http://purl.obolibrary.org/obo/MONDO_0009999	autosomal recessive Robinow syndrome	http://purl.obolibrary.org/obo/MONDO_0019978	Robinow syndrome
http://purl.obolibrary.org/obo/MONDO_0016647	autosomal recessive Stickler syndrome	http://purl.obolibrary.org/obo/MONDO_0019354	Stickler syndrome
http://purl.obolibrary.org/obo/MONDO_0019601	autosomal recessive axonal hereditary motor and sensory neuropathy	http://purl.obolibrary.org/obo/MONDO_0018775	axonal hereditary motor and sensory neuropathy
http://purl.obolibrary.org/obo/MONDO_0015089	autosomal recessive complex spastic paraplegia	http://purl.obolibrary.org/obo/MONDO_0015150	complex hereditary spastic paraplegia
http://purl.obolibrary.org/obo/MONDO_0017265	autosomal recessive congenital ichthyosis	http://purl.obolibrary.org/obo/MONDO_0017262	inherited non-syndromic ichthyosis
http://purl.obolibrary.org/obo/MONDO_0006025	autosomal recessive disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0015363	autosomal recessive distal hereditary motor neuropathy	http://purl.obolibrary.org/obo/MONDO_0018894	distal hereditary motor neuropathy
http://purl.obolibrary.org/obo/MONDO_0044742	autosomal recessive epidermolytic ichthyosis	http://purl.obolibrary.org/obo/MONDO_0007239	epidermolytic ichthyosis
http://purl.obolibrary.org/obo/MONDO_0009572	autosomal recessive familial Mediterranean fever	http://purl.obolibrary.org/obo/MONDO_0018088	familial Mediterranean fever
http://purl.obolibrary.org/obo/MONDO_0015361	autosomal recessive hereditary demyelinating motor and sensory neuropathy	http://purl.obolibrary.org/obo/MONDO_0018776	demyelinating hereditary motor and sensory neuropathy
http://purl.obolibrary.org/obo/MONDO_0015366	autosomal recessive hereditary sensory and autonomic neuropathy	http://purl.obolibrary.org/obo/MONDO_0015364	hereditary sensory and autonomic neuropathy
http://purl.obolibrary.org/obo/MONDO_0016619	autosomal recessive hypohidrotic ectodermal dysplasia	http://purl.obolibrary.org/obo/MONDO_0016535	hypohidrotic ectodermal dysplasia
http://purl.obolibrary.org/obo/MONDO_0017058	autosomal recessive intermediate Charcot-Marie-Tooth disease	http://purl.obolibrary.org/obo/MONDO_0018778	intermediate Charcot-Marie-Tooth disease
http://purl.obolibrary.org/obo/MONDO_0020096	autosomal recessive isolated diffuse palmoplantar keratoderma	http://purl.obolibrary.org/obo/MONDO_0017667	isolated diffuse palmoplantar keratoderma
http://purl.obolibrary.org/obo/MONDO_0040653	autosomal recessive ocular albinism	http://purl.obolibrary.org/obo/MONDO_0017304	ocular albinism
http://purl.obolibrary.org/obo/MONDO_0014753	autosomal recessive optic atrophy	http://purl.obolibrary.org/obo/MONDO_0043878	hereditary optic atrophy
http://purl.obolibrary.org/obo/MONDO_0016660	autosomal recessive primary microcephaly	http://purl.obolibrary.org/obo/MONDO_0016056	isolated congenital microcephaly
http://purl.obolibrary.org/obo/MONDO_0016810	autosomal recessive progressive external ophthalmoplegia	http://purl.obolibrary.org/obo/MONDO_0005181	progressive external ophthalmoplegia
http://purl.obolibrary.org/obo/MONDO_0015090	autosomal recessive pure spastic paraplegia	http://purl.obolibrary.org/obo/MONDO_0015149	pure hereditary spastic paraplegia
http://purl.obolibrary.org/obo/MONDO_0028226	autosomal recessive severe congenital neutropenia	http://purl.obolibrary.org/obo/MONDO_0018542	severe congenital neutropenia
http://purl.obolibrary.org/obo/MONDO_0008866	bifid nose, autosomal recessive	http://purl.obolibrary.org/obo/MONDO_0000110	bifid nose
http://purl.obolibrary.org/obo/MONDO_0009768	oculodentodigital dysplasia, autosomal recessive	http://purl.obolibrary.org/obo/MONDO_0008111	oculodentodigital dysplasia
