defined_class	defined_class_label	location	location_label
http://purl.obolibrary.org/obo/MONDO_0000954	Meckel diverticulum cancer	http://purl.obolibrary.org/obo/UBERON_0003705	Meckel's diverticulum
http://purl.obolibrary.org/obo/MONDO_0004685	Waldeyer's ring cancer	http://purl.obolibrary.org/obo/UBERON_0001735	tonsillar ring
http://purl.obolibrary.org/obo/MONDO_0002817	adrenal gland cancer	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland
http://purl.obolibrary.org/obo/MONDO_0003606	adrenal medulla cancer	http://purl.obolibrary.org/obo/UBERON_0001236	adrenal medulla
http://purl.obolibrary.org/obo/MONDO_0000919	ampulla of vater cancer	http://purl.obolibrary.org/obo/UBERON_0004913	hepatopancreatic ampulla
http://purl.obolibrary.org/obo/MONDO_0000405	anal canal cancer	http://purl.obolibrary.org/obo/UBERON_0000159	anal canal
http://purl.obolibrary.org/obo/MONDO_0001879	anus cancer	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/MONDO_0004539	aortic malignant tumor	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/MONDO_0003215	apocrine sweat gland cancer	http://purl.obolibrary.org/obo/UBERON_0000382	apocrine sweat gland
http://purl.obolibrary.org/obo/MONDO_0001235	appendix cancer	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0004637	aryepiglottic fold cancer	http://purl.obolibrary.org/obo/UBERON_0014385	aryepiglottic fold
http://purl.obolibrary.org/obo/MONDO_0002238	ascending colon cancer	http://purl.obolibrary.org/obo/UBERON_0001156	ascending colon
http://purl.obolibrary.org/obo/MONDO_0004532	auditory system cancer	http://purl.obolibrary.org/obo/UBERON_0016490	auditory system
http://purl.obolibrary.org/obo/MONDO_0003059	bile duct cancer	http://purl.obolibrary.org/obo/UBERON_0002394	bile duct
http://purl.obolibrary.org/obo/MONDO_0003060	biliary tract cancer	http://purl.obolibrary.org/obo/UBERON_0001173	biliary tree
http://purl.obolibrary.org/obo/MONDO_0001380	bladder dome cancer	http://purl.obolibrary.org/obo/UBERON_0006082	fundus of urinary bladder
http://purl.obolibrary.org/obo/MONDO_0001372	bladder neck cancer	http://purl.obolibrary.org/obo/UBERON_0001258	neck of urinary bladder
http://purl.obolibrary.org/obo/MONDO_0001375	bladder trigone cancer	http://purl.obolibrary.org/obo/UBERON_0001257	trigone of urinary bladder
http://purl.obolibrary.org/obo/MONDO_0002129	bone cancer	http://purl.obolibrary.org/obo/UBERON_0004765	skeletal element
http://purl.obolibrary.org/obo/MONDO_0021138	bone marrow cancer	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow
http://purl.obolibrary.org/obo/MONDO_0001657	brain cancer	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/MONDO_0002912	brainstem cancer	http://purl.obolibrary.org/obo/UBERON_0002298	brainstem
http://purl.obolibrary.org/obo/MONDO_0007254	breast cancer	http://purl.obolibrary.org/obo/UBERON_0000310	breast
http://purl.obolibrary.org/obo/MONDO_0001108	broad ligament malignant neoplasm	http://purl.obolibrary.org/obo/UBERON_0012332	broad ligament of uterus
http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus
http://purl.obolibrary.org/obo/MONDO_0024311	cancer affecting bone of limb skeleton	http://purl.obolibrary.org/obo/UBERON_0002428	limb bone
http://purl.obolibrary.org/obo/MONDO_0021317	cancer of cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/MONDO_0004792	cancer of isthmus of fallopian tube	http://purl.obolibrary.org/obo/UBERON_0016632	isthmus of fallopian tube
http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	http://purl.obolibrary.org/obo/UBERON_0003608	hindlimb long bone
http://purl.obolibrary.org/obo/MONDO_0100085	cancer of long bone of upper limb	http://purl.obolibrary.org/obo/UBERON_0003607	forelimb long bone
http://purl.obolibrary.org/obo/MONDO_0001063	cardia cancer	http://purl.obolibrary.org/obo/UBERON_0001162	cardia of stomach
http://purl.obolibrary.org/obo/MONDO_0002100	cardiovascular cancer	http://purl.obolibrary.org/obo/UBERON_0004535	cardiovascular system
http://purl.obolibrary.org/obo/MONDO_0000639	cartilage cancer	http://purl.obolibrary.org/obo/UBERON_0002418	cartilage tissue
http://purl.obolibrary.org/obo/MONDO_0037738	cauda equina cancer	http://purl.obolibrary.org/obo/UBERON_0012337	cauda equina
http://purl.obolibrary.org/obo/MONDO_0002033	cecum cancer	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/MONDO_0002714	central nervous system cancer	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system
http://purl.obolibrary.org/obo/MONDO_0002731	cerebral hemisphere cancer	http://purl.obolibrary.org/obo/UBERON_0001869	cerebral hemisphere
http://purl.obolibrary.org/obo/MONDO_0002682	cerebral ventricle cancer	http://purl.obolibrary.org/obo/UBERON_0004086	brain ventricle
http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer	http://purl.obolibrary.org/obo/UBERON_0000002	uterine cervix
http://purl.obolibrary.org/obo/MONDO_0004645	cheek mucosa cancer	http://purl.obolibrary.org/obo/UBERON_0006956	buccal mucosa
http://purl.obolibrary.org/obo/MONDO_0006700	choroid cancer	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid
http://purl.obolibrary.org/obo/MONDO_0002681	choroid plexus cancer	http://purl.obolibrary.org/obo/UBERON_0001886	choroid plexus
http://purl.obolibrary.org/obo/MONDO_0002969	ciliary body cancer	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body
