defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0016241	alternating hemiplegia of childhood	http://purl.obolibrary.org/obo/MONDO_0016210	alternating hemiplegia
http://purl.obolibrary.org/obo/MONDO_0016114	bulbospinal muscular atrophy of childhood	http://purl.obolibrary.org/obo/MONDO_0016113	bulbospinal muscular atrophy
http://purl.obolibrary.org/obo/MONDO_0000870	childhood acute lymphoblastic leukemia	http://purl.obolibrary.org/obo/MONDO_0004967	acute lymphoblastic leukemia
http://purl.obolibrary.org/obo/MONDO_0004996	childhood acute myeloid leukemia	http://purl.obolibrary.org/obo/MONDO_0018874	acute myeloid leukemia
http://purl.obolibrary.org/obo/MONDO_0044767	childhood adrenal gland pheochromocytoma	http://purl.obolibrary.org/obo/MONDO_0004974	adrenal gland pheochromocytoma
http://purl.obolibrary.org/obo/MONDO_0002505	childhood astrocytic tumor	http://purl.obolibrary.org/obo/MONDO_0021636	astrocytic tumor
http://purl.obolibrary.org/obo/MONDO_0003992	childhood botryoid rhabdomyosarcoma	http://purl.obolibrary.org/obo/MONDO_0002578	botryoid rhabdomyosarcoma
http://purl.obolibrary.org/obo/MONDO_0004217	childhood brain germinoma	http://purl.obolibrary.org/obo/MONDO_0002214	brain germinoma
http://purl.obolibrary.org/obo/MONDO_0003869	childhood brain stem glioma	http://purl.obolibrary.org/obo/MONDO_0002911	brain stem glioma
http://purl.obolibrary.org/obo/MONDO_0002914	childhood brain stem neoplasm	http://purl.obolibrary.org/obo/MONDO_0002912	brainstem cancer
http://purl.obolibrary.org/obo/MONDO_0003870	childhood brainstem astrocytoma	http://purl.obolibrary.org/obo/MONDO_0003173	brain stem astrocytic neoplasm
http://purl.obolibrary.org/obo/MONDO_0022642	childhood carcinoid tumor	http://purl.obolibrary.org/obo/MONDO_0005369	carcinoid tumor
http://purl.obolibrary.org/obo/MONDO_0004153	childhood central nervous system embryonal carcinoma	http://purl.obolibrary.org/obo/MONDO_0018843	embryonal carcinoma of the central nervous system
http://purl.obolibrary.org/obo/MONDO_0004452	childhood central nervous system germinoma	http://purl.obolibrary.org/obo/MONDO_0002999	central nervous system germinoma
http://purl.obolibrary.org/obo/MONDO_0003958	childhood central nervous system immature teratoma	http://purl.obolibrary.org/obo/MONDO_0003735	central nervous system immature teratoma
http://purl.obolibrary.org/obo/MONDO_0003875	childhood central nervous system mature teratoma	http://purl.obolibrary.org/obo/MONDO_0003733	central nervous system mature teratoma
http://purl.obolibrary.org/obo/MONDO_0004257	childhood central nervous system mixed germ cell tumor	http://purl.obolibrary.org/obo/MONDO_0016742	mixed germ cell tumor of central nervous system
http://purl.obolibrary.org/obo/MONDO_0002798	childhood central nervous system primitive neuroectodermal neoplasm	http://purl.obolibrary.org/obo/MONDO_0000640	central nervous system primitive neuroectodermal neoplasm
http://purl.obolibrary.org/obo/MONDO_0004535	childhood choriocarcinoma of the ovary	http://purl.obolibrary.org/obo/MONDO_0003507	choriocarcinoma of ovary
http://purl.obolibrary.org/obo/MONDO_0002685	childhood choroid plexus carcinoma	http://purl.obolibrary.org/obo/MONDO_0016718	choroid plexus carcinoma
http://purl.obolibrary.org/obo/MONDO_0024744	childhood choroid plexus neoplasm	http://purl.obolibrary.org/obo/MONDO_0016717	choroid plexus neoplasm
http://purl.obolibrary.org/obo/MONDO_0000414	childhood electroclinical syndrome	http://purl.obolibrary.org/obo/MONDO_0000411	electroclinical syndrome
http://purl.obolibrary.org/obo/MONDO_0003788	childhood embryonal testis carcinoma	http://purl.obolibrary.org/obo/MONDO_0006446	testicular embryonal carcinoma
http://purl.obolibrary.org/obo/MONDO_0005407	childhood eosinophilic esophagitis	http://purl.obolibrary.org/obo/MONDO_0005361	eosinophilic esophagitis
http://purl.obolibrary.org/obo/MONDO_0003478	childhood ependymoma	http://purl.obolibrary.org/obo/MONDO_0016698	ependymoma
http://purl.obolibrary.org/obo/MONDO_0004082	childhood immature teratoma of ovary	http://purl.obolibrary.org/obo/MONDO_0018369	immature ovarian teratoma
http://purl.obolibrary.org/obo/MONDO_0002915	childhood infratentorial neoplasm	http://purl.obolibrary.org/obo/MONDO_0037736	infratentorial neoplasm
http://purl.obolibrary.org/obo/MONDO_0004554	childhood kidney angiomyolipoma	http://purl.obolibrary.org/obo/MONDO_0004555	kidney angiomyolipoma
http://purl.obolibrary.org/obo/MONDO_0003007	childhood kidney cell carcinoma	http://purl.obolibrary.org/obo/MONDO_0005086	renal cell carcinoma
http://purl.obolibrary.org/obo/MONDO_0002730	childhood kidney neoplasm	http://purl.obolibrary.org/obo/MONDO_0021163	kidney neoplasm
http://purl.obolibrary.org/obo/MONDO_0004355	childhood leukemia	http://purl.obolibrary.org/obo/MONDO_0005059	leukemia
http://purl.obolibrary.org/obo/MONDO_0036511	childhood malignant kidney neoplasm	http://purl.obolibrary.org/obo/MONDO_0002367	kidney cancer
http://purl.obolibrary.org/obo/MONDO_0042494	childhood malignant melanoma	http://purl.obolibrary.org/obo/MONDO_0005105	melanoma
http://purl.obolibrary.org/obo/MONDO_0003818	childhood mature teratoma of the ovary	http://purl.obolibrary.org/obo/MONDO_0003820	mature ovarian teratoma
http://purl.obolibrary.org/obo/MONDO_0003097	childhood mediastinal neurogenic neoplasm	http://purl.obolibrary.org/obo/MONDO_0003098	mediastinal neural neoplasm
http://purl.obolibrary.org/obo/MONDO_0002797	childhood medulloblastoma	http://purl.obolibrary.org/obo/MONDO_0007959	medulloblastoma
http://purl.obolibrary.org/obo/MONDO_0002540	childhood oligodendroglioma	http://purl.obolibrary.org/obo/MONDO_0016695	oligodendroglioma
http://purl.obolibrary.org/obo/MONDO_0005405	childhood onset asthma	http://purl.obolibrary.org/obo/MONDO_0004979	asthma
http://purl.obolibrary.org/obo/MONDO_0003932	childhood optic nerve glioma	http://purl.obolibrary.org/obo/MONDO_0003235	optic nerve glioma
http://purl.obolibrary.org/obo/MONDO_0003931	childhood optic tract astrocytoma	http://purl.obolibrary.org/obo/MONDO_0024649	optic tract astrocytoma
http://purl.obolibrary.org/obo/MONDO_0004441	childhood ovarian embryonal carcinoma	http://purl.obolibrary.org/obo/MONDO_0003581	ovarian embryonal carcinoma
http://purl.obolibrary.org/obo/MONDO_0004000	childhood pilocytic astrocytoma	http://purl.obolibrary.org/obo/MONDO_0016691	pilocytic astrocytoma
http://purl.obolibrary.org/obo/MONDO_0004233	childhood pleomorphic rhabdomyosarcoma	http://purl.obolibrary.org/obo/MONDO_0017386	pleomorphic rhabdomyosarcoma
http://purl.obolibrary.org/obo/MONDO_0004403	childhood precursor T-lymphoblastic lymphoma/leukemia	http://purl.obolibrary.org/obo/MONDO_0003537	precursor T-lymphoblastic lymphoma/leukemia
http://purl.obolibrary.org/obo/MONDO_0002716	childhood spinal cord tumor	http://purl.obolibrary.org/obo/MONDO_0021234	spinal cord neoplasm
http://purl.obolibrary.org/obo/MONDO_0003819	childhood teratoma of the ovary	http://purl.obolibrary.org/obo/MONDO_0005602	ovarian teratoma
