defined_class	defined_class_label	chromosomal_region	chromosomal_region_label
http://purl.obolibrary.org/obo/MONDO_0018632	11q22.2q22.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr11q22.2-q22.3	11q22.2-q22.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0017781	12p12.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr12p12.1	12p12.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0019784	12q14 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr12q14	12q14 (Human)
http://purl.obolibrary.org/obo/MONDO_0017334	12q15q21.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr12q15-q21.1	12q15-q21.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0018474	13q12.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr13q12.3	13q12.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016833	14q12 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr14q12	14q12 (Human)
http://purl.obolibrary.org/obo/MONDO_0018429	14q24.1q24.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr14q24.1-q24.3	14q24.1-q24.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0014822	15q14 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q14	15q14 (Human)
http://purl.obolibrary.org/obo/MONDO_0016836	16p13.11 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p13.11	16p13.11 (Human)
http://purl.obolibrary.org/obo/MONDO_0018127	16q24.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16q24.1	16q24.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0016838	16q24.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16q24.3	16q24.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016765	19p13.12 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr19p13.12	19p13.12 (Human)
http://purl.obolibrary.org/obo/MONDO_0017405	1p21.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1p21.3	1p21.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0018697	1p35.2 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1p35.2	1p35.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0016561	1q44 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1q44	1q44 (Human)
http://purl.obolibrary.org/obo/MONDO_0016841	20p12.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr20p12.3	20p12.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0017780	20p13 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr20p13	20p13 (Human)
http://purl.obolibrary.org/obo/MONDO_0018633	20q11.2 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr20q11.2	20q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0016843	20q13.33 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr20q13.33	20q13.33 (Human)
http://purl.obolibrary.org/obo/MONDO_0016845	21q22.11q22.12 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr21q22.11-q22.12	21q22.11-q22.12 (Human)
http://purl.obolibrary.org/obo/MONDO_0018923	22q11.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr22q11.2	22q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0018207	2p13.2 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2p13.2	2p13.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0015583	2p21 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2p21	2p21 (Human)
http://purl.obolibrary.org/obo/MONDO_0016459	2q23.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q23.1	2q23.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0015566	2q24 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q24	2q24 (Human)
http://purl.obolibrary.org/obo/MONDO_0016652	2q31.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q31.1	2q31.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0016653	2q33.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q33.1	2q33.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0010886	2q37 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q37	2q37 (Human)
http://purl.obolibrary.org/obo/MONDO_0018564	3p25.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3p25.3	3p25.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0018341	3q27.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3q27.3	3q27.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016456	5q14.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr5q14.3	5q14.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0016655	6p22 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr6p22	6p22 (Human)
http://purl.obolibrary.org/obo/MONDO_0015749	6q16 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr6q16	6q16 (Human)
http://purl.obolibrary.org/obo/MONDO_0016656	7q31 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr7q31	7q31 (Human)
http://purl.obolibrary.org/obo/MONDO_0016657	8p11.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8p11.2	8p11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0016658	8p23.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8p23.1	8p23.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0011977	8q22.1 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8q22.1	8q22.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0014263	8q24.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8q24.3	8q24.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0017928	9p13 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr9p13	9p13 (Human)
http://purl.obolibrary.org/obo/MONDO_0018428	9q31.1q31.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr9q31.1-q31.3	9q31.1-q31.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0044641	9q33.3q34.11 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr9q33.3-q34.11	9q33.3-q34.11 (Human)
http://purl.obolibrary.org/obo/MONDO_0014805	Hao-Fountain syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p13.2	16p13.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0015606	Xp22.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chrXp22.3	Xp22.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0012830	chromosome 10q23 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr10q23	10q23 (Human)
http://purl.obolibrary.org/obo/MONDO_0022174	chromosome 12p deletion	http://purl.obolibrary.org/obo/CHR_9606-chr12p	12p (Human)
http://purl.obolibrary.org/obo/MONDO_0013481	chromosome 13q14 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr13q14	13q14 (Human)
http://purl.obolibrary.org/obo/MONDO_0013272	chromosome 14q11-q22 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr14q11-q22	14q11-q22 (Human)
http://purl.obolibrary.org/obo/MONDO_0014294	chromosome 15q11.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q11.2	15q11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0012774	chromosome 15q13.3 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q13.3	15q13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0013256	chromosome 15q24 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q24	15q24 (Human)
http://purl.obolibrary.org/obo/MONDO_0013672	chromosome 15q25 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q25	15q25 (Human)
http://purl.obolibrary.org/obo/MONDO_0012964	chromosome 15q26-qter deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr15q26-qter	15q26-qter (Human)
http://purl.obolibrary.org/obo/MONDO_0013320	chromosome 16p12.2-p11.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p12.2-p11.2	16p12.2-p11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0022752	chromosome 16p13.3 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16p13.3	16p13.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0013798	chromosome 16q22 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr16q22	16q22 (Human)
http://purl.obolibrary.org/obo/MONDO_0022754	chromosome 17p deletion	http://purl.obolibrary.org/obo/CHR_9606-chr17p	17p (Human)
http://purl.obolibrary.org/obo/MONDO_0013415	chromosome 17p13.1 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17p13.1	17p13.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0013797	chromosome 17q12 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17q12	17q12 (Human)
http://purl.obolibrary.org/obo/MONDO_0013238	chromosome 17q23.1-q23.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr17q23.1-q23.2	17q23.1-q23.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0007800	chromosome 18p deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr18p	18p (Human)
http://purl.obolibrary.org/obo/MONDO_0011147	chromosome 18q deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr18q	18q (Human)
http://purl.obolibrary.org/obo/MONDO_0013336	chromosome 19p13.13 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr19p13.13	19p13.13 (Human)
http://purl.obolibrary.org/obo/MONDO_0013090	chromosome 19q13.11 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr19q13.11	19q13.11 (Human)
http://purl.obolibrary.org/obo/MONDO_0013396	chromosome 1p32-p31 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1p32-p31	1p32-p31 (Human)
http://purl.obolibrary.org/obo/MONDO_0060677	chromosome 1p35 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1p35	1p35 (Human)
http://purl.obolibrary.org/obo/MONDO_0011929	chromosome 1p36 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1p36	1p36 (Human)
http://purl.obolibrary.org/obo/MONDO_0022756	chromosome 1q deletion	http://purl.obolibrary.org/obo/CHR_9606-chr1q	1q (Human)
http://purl.obolibrary.org/obo/MONDO_0012914	chromosome 1q21.1 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1q21.1	1q21.1 (Human)
http://purl.obolibrary.org/obo/MONDO_0012927	chromosome 1q41-q42 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr1q41-q42	1q41-q42 (Human)
http://purl.obolibrary.org/obo/MONDO_0022760	chromosome 22q deletion	http://purl.obolibrary.org/obo/CHR_9606-chr22q	22q (Human)
http://purl.obolibrary.org/obo/MONDO_0013696	chromosome 2P16.3 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2p16.3	2p16.3 (Human)
http://purl.obolibrary.org/obo/MONDO_0013309	chromosome 2p12-p11.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2p12-p11.2	2p12-p11.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0012916	chromosome 2p16.1-p15 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2p16.1-p15	2p16.1-p15 (Human)
http://purl.obolibrary.org/obo/MONDO_0012870	chromosome 2q31.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q31.2	2q31.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0012864	chromosome 2q32-q33 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr2q32-q33	2q32-q33 (Human)
http://purl.obolibrary.org/obo/MONDO_0014185	chromosome 3q13.31 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3q13.31	3q13.31 (Human)
http://purl.obolibrary.org/obo/MONDO_0012269	chromosome 3q29 microdeletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr3q29	3q29 (Human)
http://purl.obolibrary.org/obo/MONDO_0022762	chromosome 4 short arm deletion	http://purl.obolibrary.org/obo/CHR_9606-chr4p	4p (Human)
http://purl.obolibrary.org/obo/MONDO_0013292	chromosome 4q21 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr4q21	4q21 (Human)
http://purl.obolibrary.org/obo/MONDO_0014298	chromosome 5q12 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr5q12	5q12 (Human)
http://purl.obolibrary.org/obo/MONDO_0012948	chromosome 6pter-p24 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr6pter-p24	6pter-p24 (Human)
http://purl.obolibrary.org/obo/MONDO_0013299	chromosome 6q11-q14 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr6q11-q14	6q11-q14 (Human)
http://purl.obolibrary.org/obo/MONDO_0013025	chromosome 6q24-q25 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr6q24-q25	6q24-q25 (Human)
http://purl.obolibrary.org/obo/MONDO_0010852	chromosome 8Q12.1-q21.2 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8q12.1-q21.2	8q12.1-q21.2 (Human)
http://purl.obolibrary.org/obo/MONDO_0013646	chromosome 8q21.11 deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr8q21.11	8q21.11 (Human)
http://purl.obolibrary.org/obo/MONDO_0008013	chromosome 9p deletion syndrome	http://purl.obolibrary.org/obo/CHR_9606-chr9p	9p (Human)
