defined_class	defined_class_label	disease	disease_label
http://purl.obolibrary.org/obo/MONDO_0003847	Mendelian disease	http://purl.obolibrary.org/obo/MONDO_0000001	disease or disorder
http://purl.obolibrary.org/obo/MONDO_0007573	acute erythroleukemia, familial	http://purl.obolibrary.org/obo/MONDO_0017858	acute erythroid leukemia
http://purl.obolibrary.org/obo/MONDO_0008734	adrenocortical carcinoma, hereditary	http://purl.obolibrary.org/obo/MONDO_0006639	adrenal cortex carcinoma
http://purl.obolibrary.org/obo/MONDO_0016072	anomaly of puberty or/and menstrual cycle of genetic origin	http://purl.obolibrary.org/obo/MONDO_0015860	anomaly of puberty or/and menstrual cycle
http://purl.obolibrary.org/obo/MONDO_0018384	avascular necrosis of genetic origin	http://purl.obolibrary.org/obo/MONDO_0018373	avascular necrosis
http://purl.obolibrary.org/obo/MONDO_0007329	cirrhosis, familial	http://purl.obolibrary.org/obo/MONDO_0005155	cirrhosis of liver
http://purl.obolibrary.org/obo/MONDO_0007344	cluster headache, familial	http://purl.obolibrary.org/obo/MONDO_0043537	cluster headache syndrome
http://purl.obolibrary.org/obo/MONDO_0013099	combined pituitary hormone deficiencies, genetic form	http://purl.obolibrary.org/obo/MONDO_0005152	hypopituitarism
http://purl.obolibrary.org/obo/MONDO_0009210	congenital factor V deficiency	http://purl.obolibrary.org/obo/MONDO_0020586	factor V deficiency
http://purl.obolibrary.org/obo/MONDO_0012897	congenital factor XI deficiency	http://purl.obolibrary.org/obo/MONDO_0020587	factor XI deficiency
http://purl.obolibrary.org/obo/MONDO_0006536	congenital generalized lipodystrophy	http://purl.obolibrary.org/obo/MONDO_0027766	generalized lipodystrophy
http://purl.obolibrary.org/obo/MONDO_0020398	congenital mitral stenosis	http://purl.obolibrary.org/obo/MONDO_0005852	mitral valve stenosis
http://purl.obolibrary.org/obo/MONDO_0013361	congenital prothrombin deficiency	http://purl.obolibrary.org/obo/MONDO_0024307	prothrombin deficiency
http://purl.obolibrary.org/obo/MONDO_0010122	congenital thrombotic thrombocytopenic purpura	http://purl.obolibrary.org/obo/MONDO_0018896	thrombotic thrombocytopenic purpura
http://purl.obolibrary.org/obo/MONDO_0011024	dermatitis herpetiformis, familial	http://purl.obolibrary.org/obo/MONDO_0015614	dermatitis herpetiformis
http://purl.obolibrary.org/obo/MONDO_0018454	dysostosis of genetic origin	http://purl.obolibrary.org/obo/MONDO_0018234	dysostosis
http://purl.obolibrary.org/obo/MONDO_0007781	essential hypertension, genetic	http://purl.obolibrary.org/obo/MONDO_0001134	essential hypertension
http://purl.obolibrary.org/obo/MONDO_0007031	familial abdominal aortic aneurysm	http://purl.obolibrary.org/obo/MONDO_0005350	abdominal aortic aneurysm
http://purl.obolibrary.org/obo/MONDO_0043003	familial acanthosis nigricans	http://purl.obolibrary.org/obo/MONDO_0007035	acanthosis nigricans
http://purl.obolibrary.org/obo/MONDO_0024516	familial acne inversa	http://purl.obolibrary.org/obo/MONDO_0006559	hidradenitis suppurativa
http://purl.obolibrary.org/obo/MONDO_0005144	familial amyotrophic lateral sclerosis	http://purl.obolibrary.org/obo/MONDO_0004976	amyotrophic lateral sclerosis
http://purl.obolibrary.org/obo/MONDO_0018054	familial atrial fibrillation	http://purl.obolibrary.org/obo/MONDO_0004981	atrial fibrillation
http://purl.obolibrary.org/obo/MONDO_0005217	familial cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0004994	cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0018212	familial cervical artery dissection	http://purl.obolibrary.org/obo/MONDO_0006061	cervical artery dissection
http://purl.obolibrary.org/obo/MONDO_0018827	familial chilblain lupus	http://purl.obolibrary.org/obo/MONDO_0019557	chilblain lupus
http://purl.obolibrary.org/obo/MONDO_0023113	familial colorectal cancer	http://purl.obolibrary.org/obo/MONDO_0005575	colorectal cancer
http://purl.obolibrary.org/obo/MONDO_0024462	familial cutaneous melanoma	http://purl.obolibrary.org/obo/MONDO_0005012	cutaneous melanoma
http://purl.obolibrary.org/obo/MONDO_0019741	familial cystic renal disease	http://purl.obolibrary.org/obo/MONDO_0002473	cystic kidney disease
http://purl.obolibrary.org/obo/MONDO_0016333	familial dilated cardiomyopathy	http://purl.obolibrary.org/obo/MONDO_0005021	dilated cardiomyopathy
http://purl.obolibrary.org/obo/MONDO_0000700	familial hemiplegic migraine	http://purl.obolibrary.org/obo/MONDO_0018925	familial or sporadic hemiplegic migraine
http://purl.obolibrary.org/obo/MONDO_0003689	familial hemolytic anemia	http://purl.obolibrary.org/obo/MONDO_0003664	hemolytic anemia
http://purl.obolibrary.org/obo/MONDO_0016525	familial hyperaldosteronism	http://purl.obolibrary.org/obo/MONDO_0003009	hyperaldosteronism
http://purl.obolibrary.org/obo/MONDO_0017182	familial hyperinsulinism	http://purl.obolibrary.org/obo/MONDO_0002177	hyperinsulinism
http://purl.obolibrary.org/obo/MONDO_0001336	familial hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0021187	hyperlipidemia
http://purl.obolibrary.org/obo/MONDO_0014250	familial hyperprolactinemia	http://purl.obolibrary.org/obo/MONDO_0005804	hyperprolactinemia
