defined_class	defined_class_label	disease	disease_label	disease_match_property
http://purl.obolibrary.org/obo/MONDO_0045023	acquired adrenogenital syndrome	http://purl.obolibrary.org/obo/MONDO_0015898	adrenogenital syndrome	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015610	acquired aplastic anemia	http://purl.obolibrary.org/obo/MONDO_0015909	aplastic anemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015130	acquired chronic primary adrenal insufficiency	http://purl.obolibrary.org/obo/MONDO_0015129	chronic primary adrenal insufficiency	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016446	acquired cutis laxa	http://purl.obolibrary.org/obo/MONDO_0016175	cutis laxa	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0044349	acquired hemoglobinopathy	http://purl.obolibrary.org/obo/MONDO_0044348	hemoglobinopathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001878	acquired hypertrophic pyloric stenosis	http://purl.obolibrary.org/obo/MONDO_0001560	hypertrophic pyloric stenosis	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0044817	acquired idiopathic torsion dystonia	http://purl.obolibrary.org/obo/MONDO_0044811	idiopathic torsion dystonia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0006504	acquired metabolic disease	http://purl.obolibrary.org/obo/MONDO_0005066	metabolic disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0024301	acquired mineral metabolism disease	http://purl.obolibrary.org/obo/MONDO_0000226	mineral metabolism disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020129	acquired motor neuron disease	http://purl.obolibrary.org/obo/MONDO_0020128	motor neuron disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0020125	acquired neuromuscular junction disease	http://purl.obolibrary.org/obo/MONDO_0020124	neuromuscular junction disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015822	acquired neutropenia	http://purl.obolibrary.org/obo/MONDO_0001475	neutropenia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001296	acquired night blindness	http://purl.obolibrary.org/obo/MONDO_0004588	night blindness	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0015923	acquired peripheral neuropathy	http://purl.obolibrary.org/obo/MONDO_0005244	peripheral neuropathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002438	acquired polycythemia	http://purl.obolibrary.org/obo/MONDO_0005571	polycythemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0017815	acquired porencephaly	http://purl.obolibrary.org/obo/MONDO_0017410	porencephaly	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0019851	acquired primary ovarian failure	http://purl.obolibrary.org/obo/MONDO_0005387	primary ovarian failure	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016990	acquired prothrombin deficiency	http://purl.obolibrary.org/obo/MONDO_0024307	prothrombin deficiency	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0018839	acquired schizencephaly	http://purl.obolibrary.org/obo/MONDO_0010011	schizencephaly	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016541	acquired secondary polycythemia	http://purl.obolibrary.org/obo/MONDO_0020115	secondary polycythemia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016172	acquired sensory ganglionopathy	http://purl.obolibrary.org/obo/MONDO_0021260	sensory ganglionopathy	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0016105	acquired skeletal muscle disease	http://purl.obolibrary.org/obo/MONDO_0020120	skeletal muscle disease	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001198	acquired thrombocytopenia	http://purl.obolibrary.org/obo/MONDO_0002049	thrombocytopenia	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0044870	acquired torsion dystonia	http://purl.obolibrary.org/obo/MONDO_0044843	torsion dystonia	http://www.w3.org/2000/01/rdf-schema#label
