defined_class	defined_class_label	location	location_label	location_match_property
http://purl.obolibrary.org/obo/MONDO_0001884	abducens nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001646	abducens nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0003164	cauda equina neoplasm	http://purl.obolibrary.org/obo/UBERON_0012337	cauda equina	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0024877	clitoris neoplasm	http://purl.obolibrary.org/obo/UBERON_0002411	clitoris	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002090	eccrine sweat gland neoplasm	http://purl.obolibrary.org/obo/UBERON_0000423	eccrine sweat gland	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002101	facial nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001647	facial nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001421	frontal lobe neoplasm	http://purl.obolibrary.org/obo/UBERON_0016525	frontal lobe	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002638	glossopharyngeal nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001649	glossopharyngeal nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002550	hypoglossal nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001650	hypoglossal nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0024339	lymph node neoplasm	http://purl.obolibrary.org/obo/UBERON_0000029	lymph node	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0004709	occipital lobe neoplasm	http://purl.obolibrary.org/obo/UBERON_0002021	occipital lobe	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002435	oculomotor nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001643	oculomotor nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0002642	trochlear nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001644	trochlear nerve	http://www.w3.org/2000/01/rdf-schema#label
http://purl.obolibrary.org/obo/MONDO_0001608	vagus nerve neoplasm	http://purl.obolibrary.org/obo/UBERON_0001759	vagus nerve	http://www.w3.org/2000/01/rdf-schema#label
