iri	iri label	location	location label
http://purl.obolibrary.org/obo/MONDO_0006091	appendix neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix
http://purl.obolibrary.org/obo/MONDO_0006093	ascending colon neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001156	ascending colon
http://purl.obolibrary.org/obo/MONDO_0006126	cecum neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001153	caecum
http://purl.obolibrary.org/obo/MONDO_0006155	colon neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001155	colon
http://purl.obolibrary.org/obo/MONDO_0006162	colorectal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0012652	colorectum
http://purl.obolibrary.org/obo/MONDO_0006227	gastric neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0000945	stomach
http://purl.obolibrary.org/obo/MONDO_0006250	ileal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0002116	ileum
http://purl.obolibrary.org/obo/MONDO_0021533	intestinal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0000160	intestine
http://purl.obolibrary.org/obo/MONDO_0006257	jejunal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0002115	jejunum
http://purl.obolibrary.org/obo/MONDO_0021535	pancreatic neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas
http://purl.obolibrary.org/obo/MONDO_0021534	rectal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0001052	rectum
http://purl.obolibrary.org/obo/MONDO_0000540	small intestinal neuroendocrine tumor G1	http://purl.obolibrary.org/obo/UBERON_0002108	small intestine
