iri	iri label	disease	disease label	location	location label
MONDO:0009050	ACTH-secreting pituitary adenoma	MONDO:0004972	adenoma	CL:0002309	corticotroph
MONDO:0000444	ARC syndrome	MONDO:0002254	syndromic disease	CL:0000669	pericyte cell
MONDO:0003853	Bartholin's gland adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0000460	major vestibular gland
MONDO:0003187	Bartholin's gland adenoid cystic carcinoma	MONDO:0004971	adenoid cystic carcinoma	UBERON:0000460	major vestibular gland
MONDO:0003419	Bartholin's gland adenoma	MONDO:0004972	adenoma	UBERON:0000460	major vestibular gland
MONDO:0003909	Bartholin's gland adenomyoma	MONDO:0005635	adenomyoma	UBERON:0000460	major vestibular gland
MONDO:0003555	Bartholin's gland adenosquamous carcinoma	MONDO:0006074	adenosquamous carcinoma	UBERON:0000460	major vestibular gland
MONDO:0002193	Bartholin's gland benign neoplasm	MONDO:0005165	benign neoplasm	UBERON:0000460	major vestibular gland
MONDO:0002829	Bartholin's gland carcinoma	MONDO:0004993	carcinoma	UBERON:0000460	major vestibular gland
MONDO:0004120	Bartholin's gland small cell carcinoma	MONDO:0000402	small cell carcinoma	UBERON:0000460	major vestibular gland
MONDO:0004053	Bartholin's gland squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0000460	major vestibular gland
MONDO:0002828	Bartholin's gland transitional cell carcinoma	MONDO:0006474	transitional cell carcinoma	UBERON:0000460	major vestibular gland
MONDO:0002625	Ewing sarcoma of bone	MONDO:0012817	Ewing sarcoma	UBERON:0002481	bone tissue
MONDO:0021123	Ewing sarcoma/peripheral primitive neuroectodermal tumor of bone	MONDO:0021038	Ewing sarcoma/peripheral primitive neuroectodermal tumor	UBERON:0002481	bone tissue
MONDO:0004313	Gasserian ganglion meningioma	MONDO:0016642	meningioma (disease)	UBERON:3011045	gasserian ganglion
MONDO:0018017	Goblet cell carcinoma	MONDO:0004993	carcinoma	CL:0000160	goblet cell
MONDO:0019480	Langerhans cell sarcoma	MONDO:0005089	sarcoma	CL:0000453	Langerhans cell
MONDO:0003975	Littre gland carcinoma	MONDO:0004993	carcinoma	UBERON:0010186	male urethral gland
MONDO:0006576	Ludwig's angina	MONDO:0005230	cellulitis (disease)	UBERON:0003679	mouth floor
MONDO:0007650	MALT lymphoma	MONDO:0005062	lymphoma	UBERON:0001961	mucosa-associated lymphoid tissue
MONDO:0020541	Maligant granulosa cell tumor of ovary	MONDO:0004992	cancer	CL:0000501	granulosa cell
MONDO:0000954	Meckel diverticulum cancer	MONDO:0004992	cancer	UBERON:0003705	Meckel's diverticulum
MONDO:0021082	Meckel diverticulum neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0003705	Meckel's diverticulum
MONDO:0004173	Skene gland carcinoma	MONDO:0004993	carcinoma	UBERON:0010145	paraurethral gland
MONDO:0003539	T-cell adult acute lymphocytic leukemia	MONDO:0003541	adult acute lymphocytic leukemia	CL:0000084	T cell
MONDO:0005525	T-cell leukemia	MONDO:0005059	leukemia (disease)	CL:0000084	T cell
MONDO:0008805	Takayasu's arteritis	MONDO:0002254	syndromic disease	UBERON:0004363	pharyngeal arch artery
MONDO:0001858	Tietze's syndrome	MONDO:0002254	syndromic disease	UBERON:0002293	costochondral joint
MONDO:0021049	Vulvar Neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0000997	mammalian vulva
MONDO:0004685	Waldeyer's ring cancer	MONDO:0004992	cancer	UBERON:0001735	tonsillar ring
MONDO:0003410	Wolffian duct adenocarcinoma	MONDO:0004970	adenocarcinoma	UBERON:0003074	mesonephric duct
MONDO:0002364	Wolffian duct adenoma	MONDO:0004972	adenoma	UBERON:0003074	mesonephric duct
MONDO:0001884	abducens nerve neoplasm	MONDO:0005070	neoplasm (disease)	UBERON:0001646	abducens nerve
MONDO:0007033	abducens nerve palsy	MONDO:0002782	cranial nerve palsy	UBERON:0001646	abducens nerve
MONDO:0002636	accessory nerve disease	MONDO:0000001	disease	UBERON:0002019	accessory XI nerve
MONDO:0004965	acinar cell carcinoma	MONDO:0004993	carcinoma	CL:0000622	acinar cell
MONDO:0004343	acinar cell cystadenocarcinoma	MONDO:0005596	cystadenocarcinoma	CL:0000622	acinar cell
MONDO:0003624	acinic cell breast carcinoma	MONDO:0004989	breast carcinoma	CL:0000622	acinar cell
MONDO:0010643	acute leukemia (disease)	MONDO:0005059	leukemia (disease)	CL:0000034	stem cell
MONDO:0016275	adenocarcinoma of cervix uteri	MONDO:0004970	adenocarcinoma	UBERON:0000002	uterine cervix
MONDO:0016287	adenoid basal carcinoma of the cervix uteri	MONDO:0002951	skin adenoid basal cell carcinoma	UBERON:0000002	uterine cervix
MONDO:0016286	adenoid cystic carcinoma of the cervix uteri	MONDO:0004971	adenoid cystic carcinoma	UBERON:0000002	uterine cervix
MONDO:0016271	adenoid cystic carcinoma of the corpus uteri	MONDO:0004971	adenoid cystic carcinoma	UBERON:0009853	body of uterus
MONDO:0003487	adenoid squamous cell carcinoma	MONDO:0005096	squamous cell carcinoma	UBERON:0001732	pharyngeal tonsil
MONDO:0003237	adenomyoma of uterine corpus	MONDO:0005635	adenomyoma	UBERON:0009853	body of uterus
MONDO:0016279	adenosarcoma of the cervix uteri	MONDO:0005636	adenosarcoma	UBERON:0000002	uterine cervix
MONDO:0003549	adenosquamous bile duct carcinoma	MONDO:0006074	adenosquamous carcinoma	UBERON:0002394	bile duct
MONDO:0002814	adrenal carcinoma	MONDO:0004993	carcinoma	UBERON:0002369	adrenal gland
MONDO:0003924	adrenal cortex adenoma	MONDO:0004972	adenoma	UBERON:0001235	adrenal cortex
MONDO:0002816	adrenal cortex disease	MONDO:0000001	disease	UBERON:0001235	adrenal cortex
