iri,iri label,neoplasm,neoplasm label
MONDO:0004992,cancer,MONDO:0005070,neoplasm (disease)
MONDO:0006517,childhood malignant neoplasm,MONDO:0021079,childhood neoplasm
MONDO:0003252,granular cell cancer,MONDO:0006235,granular cell tumor
MONDO:0000378,malignant Sertoli cell tumor,MONDO:0002696,Sertoli cell tumor
MONDO:0000379,malignant Sertoli-leydig cell tumor,MONDO:0002479,Sertoli-leydig cell tumor
MONDO:0002991,malignant adenofibroma,MONDO:0006071,adenofibroma
MONDO:0006288,malignant adrenal gland pheochromocytoma,MONDO:0004974,adrenal gland pheochromocytoma
MONDO:0003015,malignant biphasic mesothelioma,MONDO:0006109,malignant biphasic mesothelioma
MONDO:0002489,malignant breast phyllodes tumor,MONDO:0021047,breast phyllodes tumor
MONDO:0004650,malignant carotid body paraganglioma,MONDO:0021053,carotid body paraganglioma
MONDO:0002402,malignant giant cell tumor,MONDO:0002171,giant cell tumor
MONDO:0000898,malignant hemangioma,MONDO:0006500,hemangioma
MONDO:0003633,malignant mesenchymoma,MONDO:0006854,mesenchymoma
MONDO:0006292,malignant mesothelioma (disease),MONDO:0005065,mesothelioma
MONDO:0005853,malignant mixed neoplasm,MONDO:0021043,mixed neoplasm
MONDO:0002920,malignant ovarian Brenner tumor,MONDO:0002370,ovarian Brenner tumor
MONDO:0002224,malignant ovarian cyst,MONDO:0003282,ovarian cyst (disease)
MONDO:0016751,malignant perineurioma,MONDO:0019404,perineurioma
MONDO:0005512,malignant peritoneal mesothelioma,MONDO:0006362,peritoneal mesothelioma (disease)
MONDO:0000407,malignant pleural solitary fibrous tumor,MONDO:0021041,pleural solitary fibrous tumor
MONDO:0004412,malignant spiradenoma,MONDO:0003448,spiradenoma
MONDO:0003332,malignant struma ovarii,MONDO:0006980,struma ovarii
MONDO:0003519,malignant syringoma,MONDO:0002191,syringoma
MONDO:0003514,malignant teratoma,MONDO:0002601,teratoma
MONDO:0003737,malignant testicular leydig cell tumor,MONDO:0003124,testicular leydig cell tumor
MONDO:0006298,mediastinal malignant germ cell tumor,MONDO:0021067,mediastinal germ cell tumor
MONDO:0003403,testicular non-seminomatous germ cell cancer,MONDO:0002873,testicular germ cell tumor non-seminomatous
