iri,iri label,disease,disease label
MONDO:0010520,X-linked Alport syndrome,MONDO:0018965,Alport syndrome
MONDO:0010586,X-linked Ehlers-Danlos syndrome,MONDO:0020066,Ehlers-Danlos syndrome
MONDO:0010680,X-linked Emery-Dreifuss muscular dystrophy,MONDO:0016830,Emery-Dreifuss muscular dystrophy
MONDO:0010222,X-linked Opitz G/BBB syndrome,MONDO:0017138,Opitz G/BBB syndrome
MONDO:0018544,X-linked adrenoleukodystrophy,MONDO:0001070,adrenoleukodystrophy
MONDO:0010683,X-linked centronuclear myopathy,MONDO:0018947,centronuclear myopathy
MONDO:0016612,X-linked cerebellar ataxia,MONDO:0000437,cerebellar ataxia
MONDO:0010556,X-linked chondrodysplasia punctata,MONDO:0019701,chondrodysplasia punctata
MONDO:0021155,X-linked cone-rod dystrophy,MONDO:0015993,cone-rod dystrophy
MONDO:0000425,X-linked disease,MONDO:0000001,disease
MONDO:0018451,X-linked distal hereditary motor neuropathy,MONDO:0018894,distal hereditary motor neuropathy
MONDO:0010420,X-linked erythropoietic protoporphyria,MONDO:0001676,erythropoietic protoporphyria
MONDO:0000559,X-linked hereditary ataxia,MONDO:0000557,hereditary ataxia
MONDO:0010626,X-linked hyper-IgM syndrome,MONDO:0003947,hyper-IgM syndrome
MONDO:0010585,X-linked hypohidrotic ectodermal dysplasia,MONDO:0016535,hypohidrotic ectodermal dysplasia
MONDO:0010619,X-linked hypophosphatemic rickets,MONDO:0000044,hypophosphatemic rickets
MONDO:0010716,X-linked lethal multiple pterygium syndrome,MONDO:0009668,lethal multiple pterygium syndrome
MONDO:0010627,X-linked lymphoproliferative syndrome,MONDO:0016537,lymphoproliferative syndrome
MONDO:0010539,X-linked mandibulofacial dysostosis,MONDO:0015483,mandibulofacial dysostosis
MONDO:0017905,X-linked mendelian susceptibility to mycobacterial diseases,MONDO:0019146,mendelian susceptibility to mycobacterial diseases
MONDO:0019586,X-linked nonsyndromic deafness,MONDO:0019497,nonsyndromic deafness
MONDO:0010294,X-linked severe congenital neutropenia,MONDO:0018542,severe congenital neutropenia
MONDO:0010419,X-linked sideroblastic anemia,MONDO:0015194,sideroblastic anemia
MONDO:0010248,X-linked spondyloepimetaphyseal dysplasia,MONDO:0000844,spondyloepimetaphyseal dysplasia
MONDO:0020119,X-linked syndromic intellectual disability,MONDO:0000508,syndromic intellectual disability
MONDO:0010622,recessive X-linked ichthyosis,MONDO:0019269,ichthyosis (disease)
