id	subject	predicate	object	relation	knowledge_source
urn:uuid:ac3b61c6-9f07-4c02-ad39-37ad14603357	MONDO:0000004	biolink:subclass_of	MONDO:0002816	rdfs:subClassOf	mondo-rare.json
urn:uuid:60cf07a3-ea51-42c3-9d19-ad816391a1a6	MONDO:0000005	biolink:subclass_of	MONDO:0004907	rdfs:subClassOf	mondo-rare.json
urn:uuid:ba2bbc4a-b65d-431f-b3aa-c3fb9f42adc3	MONDO:0000005	biolink:subclass_of	MONDO:0100118	rdfs:subClassOf	mondo-rare.json
urn:uuid:9303ef89-d671-46f8-90bd-9f593017fa02	MONDO:0000009	biolink:subclass_of	MONDO:0002243	rdfs:subClassOf	mondo-rare.json
urn:uuid:700f30a7-6f13-4047-8b0a-e33ff430eebf	MONDO:0000009	biolink:subclass_of	MONDO:0002245	rdfs:subClassOf	mondo-rare.json
urn:uuid:24ddc7e1-b0d2-47c7-89d0-3d68688e34e3	MONDO:0000009	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:8455d87b-e1a0-4948-a2e6-1357223a2df1	MONDO:0000014	biolink:subclass_of	MONDO:0001703	rdfs:subClassOf	mondo-rare.json
urn:uuid:f56b35e7-6645-4e44-8390-442696524c11	MONDO:0000015	biolink:subclass_of	MONDO:0003832	rdfs:subClassOf	mondo-rare.json
urn:uuid:aab008ff-665a-4c64-bbcf-51a19dbbd578	MONDO:0000023	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:a680cf91-b260-466e-a0d1-37c5a275b57f	MONDO:0000023	biolink:subclass_of	MONDO:0100192	rdfs:subClassOf	mondo-rare.json
urn:uuid:3defebaa-e85d-4118-8d32-cc086f825065	MONDO:0000030	biolink:subclass_of	MONDO:0017704	rdfs:subClassOf	mondo-rare.json
urn:uuid:283a765c-502c-4d0b-9a48-2bad7fa50a94	MONDO:0000030	biolink:subclass_of	MONDO:0100631	rdfs:subClassOf	mondo-rare.json
urn:uuid:f52f8b52-2457-48cf-b59b-437f556b2d80	MONDO:0000032	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:93a39234-d926-4ab5-bf69-f3c9e76c11d8	MONDO:0000044	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:a7600132-a9de-4344-8545-d0644154413c	MONDO:0000044	biolink:subclass_of	MONDO:0024300	rdfs:subClassOf	mondo-rare.json
urn:uuid:41106315-ec4d-4be0-8493-0c0ee5099d53	MONDO:0000045	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:1a5c2a27-941f-47c8-82b6-c8fc58dafcef	MONDO:0000045	biolink:subclass_of	MONDO:0018612	rdfs:subClassOf	mondo-rare.json
urn:uuid:b1fe26eb-5cd7-412d-abdc-0ba213106226	MONDO:0000050	biolink:subclass_of	MONDO:0013099	rdfs:subClassOf	mondo-rare.json
urn:uuid:8fd06699-5c1b-47b9-b090-d70d6b97c767	MONDO:0000060	biolink:subclass_of	MONDO:0001149	rdfs:subClassOf	mondo-rare.json
urn:uuid:cfc5a65b-5eef-48ed-b9e9-a79baa142f25	MONDO:0000062	biolink:subclass_of	MONDO:0003847	rdfs:subClassOf	mondo-rare.json
urn:uuid:a5db2ed6-e283-41d6-9321-7470770f7a80	MONDO:0000062	biolink:subclass_of	MONDO:0021129	rdfs:subClassOf	mondo-rare.json
urn:uuid:1dd0e38c-f77a-40f4-baa9-ba889db91bd7	MONDO:0000066	biolink:subclass_of	MONDO:0016387	rdfs:subClassOf	mondo-rare.json
urn:uuid:148b1ac7-63aa-4294-9fdf-15a9e84ce118	MONDO:0000078	biolink:subclass_of	MONDO:0019796	rdfs:subClassOf	mondo-rare.json
urn:uuid:9188eb3c-1fb5-46f3-9e35-f5cf52e08782	MONDO:0000079	biolink:subclass_of	MONDO:0005298	rdfs:subClassOf	mondo-rare.json
urn:uuid:fb55f5c0-43ee-4847-a9a7-2240aa4a99d8	MONDO:0000087	biolink:subclass_of	MONDO:0002320	rdfs:subClassOf	mondo-rare.json
urn:uuid:0f487bb6-d0b1-48a9-845e-73fec6703f60	MONDO:0000088	biolink:subclass_of	MONDO:0002259	rdfs:subClassOf	mondo-rare.json
